カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
病院,,大津赤十字病院,520-8511,大津市長等１丁目１番３５号,日本赤十字社,M 37. 4. 1,,
病院,,市立大津市民病院,520-0804,大津市本宮２丁目９番９号,地方独立行政法人市立大津市民病院,H　29. 4. 1,,
病院,,大津赤十字志賀病院,520-0580,大津市和邇中２９８,日本赤十字社,H14. 7. 1,,
病院,,琵琶湖病院,520-0113,大津市坂本１丁目８番５号,医療法人明和会,S 27.10. 1,,
病院,,独立行政法人地域医療機能推進機構滋賀病院,520-0846,大津市富士見台１６番１号,独立行政法人地域医療機能推進機構,2014-04-01,,
病院,,医療法人藤樹会滋賀里病院,520-0006,大津市滋賀里１丁目１８番４１号,医療法人藤樹会,H 4. 5. 1,,
病院,,医療法人堅田病院,520-0242,大津市本堅田３丁目３３番２４号,医療法人堅田病院,1996-06-01,,
病院,,医療法人華頂会琵琶湖養育院病院,520-2144,大津市大萱７丁目７番２号,医療法人華頂会,H  8. 6. 1,,
病院,,医療法人弘英会琵琶湖大橋病院,520-0232,大津市真野５丁目１番２９号,医療法人弘英会,H  1. 6. 1,,
病院,,山田整形外科病院,520-0242,大津市本堅田５丁目２２番２７号,医療法人山田整形外科病院,2022-11-01,,
病院,,医療法人良善会ひかり病院,520-0002,大津市際川３丁目３５－１,医療法人良善会,H18.12. 1,,
病院,,琵琶湖中央リハビリテーション病院,520-0834,大津市御殿浜２２番３３号,医療法人幸生会,H  8.10. 1,,
病院,,医療法人社団瀬田川病院,520-2142,大津市玉野浦４番２１号,医療法人社団瀬田川病院,S 63. 8. 1,,
病院,,打出病院,520-0806,大津市打出浜１０番４１号,医療法人社団尚青会,2020-11-01,,
病院,,滋賀医科大学医学部附属病院,520-2192,大津市瀬田月輪町,国立大学法人滋賀医科大学,S 53.10. 4,,
病院,,社会福祉法人恩賜財団済生会滋賀県病院,520-3046,栗東市大橋２丁目４番１号,社会福祉法人恩賜財団済生会支部滋賀県済生会,S 12.10.23,,
病院,,社会医療法人誠光会淡海医療センター,525-8585,草津市矢橋町１６６０番,社会医療法人誠光会,S 57. 4. 1,,
病院,,社会医療法人誠光会淡海ふれあい病院,525-8585,草津市矢橋町1629番５,社会医療法人誠光会,2020-10-01,,
病院,,医療法人芙蓉会南草津病院,525-0059,草津市野路五丁目２番３９号,医療法人芙蓉会,S 59. 9. 1,,
病院,,びわこ学園医療福祉センター草津,525-0072,草津市笠山八丁目3-113,社会福祉法人びわこ学園,H  3. 6. 1,,
病院,,市立野洲病院,520-2331,野洲市小篠原１０９４,野洲市,2019-07-01,,
病院,,びわこ学園医療福祉センター野洲,520-2321,野洲市北桜978-2,社会福祉法人びわこ学園,S 41. 2. 1,,
病院,,滋賀県立総合病院,524-8524,守山市守山５丁目４番３０号,滋賀県,S 45.12. 1,,
病院,,湖南病院,520-2433,野洲市八夫２０７７番地,医療法人周行会,H  1. 9. 1,,
病院,,社会福祉法人恩賜財団済生会守山市民病院,524-0022,守山市守山４丁目１４番１号,守山市,S 57. 4. 1,,
病院,,滋賀県立精神医療センター,525-0072,草津市笠山八丁目4-25,滋賀県,H  4. 9. 1,,
病院,,南草津野村病院,525-0059,草津市野路一丁目６番５号,医療法人真心会,H 10. 6. 1,,
病院,,医療法人徳洲会近江草津徳洲会病院,525-0054,草津市東矢倉３丁目３４番５２号,医療法人徳洲会,2003-09-01,,
病院,,独立行政法人国立病院機構紫香楽病院,529-1803,甲賀市信楽町牧９９７番地,独立行政法人国立病院機構,2004-04-01,,
病院,,一般社団法人水口病院,528-0031,甲賀市水口町本町２丁目２番４３号,一般社団法人水口病院,S 24. 4. 2,,
病院,,公立甲賀病院,528-0074,甲賀市水口町松尾１２５６番地,地方独立行政法人公立甲賀病院,2019-04-01,,
病院,,甲賀市立信楽中央病院,529-1851,甲賀市信楽町長野４７３番地,甲賀市,2004-10-01,,
病院,,医療法人社団仁生会甲南病院,520-3321,甲賀市甲南町葛木９５８番地,医療法人社団仁生会,S 42.10.24,,
病院,,医療法人社団美松会生田病院,520-3242,湖南市菩提寺104-13,医療法人社団美松会,H  1. 6. 1,,
病院,,医療法人社団阿星会甲西ﾘﾊﾋﾞﾘ病院,520-3223,湖南市夏見1168番地,医療法人社団阿星会,H 11. 8. 1,,
病院,,近江八幡市立総合医療センター,523-0082,近江八幡市土田町１３７９番地,近江八幡市,S 15. 9. 8,,
病院,,公益財団法人近江兄弟社ヴォーリズ記念病院,523-0805,近江八幡市円山町９２７－１,公益財団法人近江兄弟社,2022-11-01,,
病院,,滋賀八幡病院,523-8503,近江八幡市鷹飼町７４４番地,公益財団法人青樹会,S 27. 7.16,,
病院,,医療法人社団昴会日野記念病院,529-1642,蒲生郡日野町上野田２００番地１,医療法人社団昴会,H  3. 4. 1,,
病院,,独立行政法人国立病院機構東近江総合医療センター,527-8505,東近江市五智町２５５番地,独立行政法人国立病院機構,S 20.12. 1,,
病院,,東近江市立能登川病院,521-1223,東近江市猪子町１９１番地,東近江市,2006-01-01,,
病院,,東近江敬愛病院,527-0025,東近江市八日市東本町８－１６,医療法人敬愛会,S 38. 1. 1,,
病院,,医療法人医誠会神崎中央病院,529-1445,東近江市五個荘清水鼻町９５番地,医療法人医誠会,2003-03-01,,
病院,,医療法人社団幸信会青葉病院,527-0039,東近江市青葉町1-36,医療法人社団幸信会,H 12. 7. 1,,
病院,,医療法人恒仁会近江温泉病院,527-0145,東近江市北坂町９６６番地,医療法人恒仁会,H  5. 7. 1,,
病院,,医療法人社団昴会湖東記念病院,527-0134,東近江市平松町２番地１,医療法人社団昴会,H 12.10.10,,
病院,,彦根市立病院,522-8539,彦根市八坂町１８８２番地,彦根市,M 24. 4.26,,
病院,,公益財団法人豊郷病院,529-1168,犬上郡豊郷町八目１２番地,公益財団法人豊郷病院,T 14. 4.27,,
病院,,医療法人恭昭会彦根中央病院,522-0054,彦根市西今町４２１番地,医療法人恭昭会,2008-04-01,,
病院,,医療法人友仁会友仁山崎病院,522-0044,彦根市竹ヶ鼻町８０番地,医療法人友仁会,H  9. 1. 1,,
病院,,長浜赤十字病院,526-8585,長浜市宮前町１４の７,日本赤十字社,S  7. 4.16,,
病院,,市立長浜病院,526-8580,長浜市大戌亥町３１３番地,長浜市,H  8. 5. 1,,
病院,,セフィロト病院,526-0045,長浜市寺田町２５７番地,社会福祉法人青祥会,2012-04-01,,
病院,,長浜市立湖北病院,529-0493,長浜市木之本町大字黒田１２２１,長浜市,2010-01-01,,
病院,,一般財団法人近江愛隣園今津病院,520-1605,高島市今津町南新保87番地1,一般財団法人近江愛隣園,S 26. 6.26,,
病院,,高島市民病院,520-1121,高島市勝野１６６７番地,高島市,S 33. 4. 1,,
病院,,医療法人マキノ病院,520-1822,高島市マキノ町新保１０９７,医療法人マキノ病院,1997-05-01,,
病院,,57,,,,,,
一般診療所,,あさい内科,525-0066,草津市矢橋町104-1,,2002-04-15,,
一般診療所,,あさの内科クリニック,525-0048,草津市追分南一丁目１番14－１Ｆ号,,2008-11-04,,
一般診療所,,あらい眼科,525-0032,草津市大路2丁目1-27伽羅ｶﾞｰﾃﾞﾝｽｸｴｱ1階,,2007-03-12,,
一般診療所,,医療法人奉仁会　いしだ眼科,525-0027,草津市野村6丁目11番4号ｺﾝﾌｫｰﾚT3,医療法人奉仁会,2007-09-03,,
一般診療所,,尾松医院,525-0027,草津市野村6丁目1-18,医療法人尾松医院,2004-05-06,,
一般診療所,,医療法人加藤乳腺クリニック,525-0037,草津市西大路町8-12,医療法人加藤乳腺クリニック,2005-05-01,,
一般診療所,,医療法人社団加藤内科医院,525-0059,草津市野路１丁目６-５-１０３,医療法人社団加藤内科医院,2007-05-01,,
一般診療所,,医療法人産科婦人科ハピネスバ－スクリニック,525-0066,草津市矢橋町233-3,医療法人産科婦人科ハピネスバースクリニック,2006-10-01,,
一般診療所,,内田内科循環器内科,525-0026,草津市渋川一丁目2-26ザ・草津タワー２階,,2009-09-01,,
一般診療所,,おうみクリニック,525-0067,草津市新浜町85-19,,2004-12-01,,
一般診療所,,おとのりクリニーク,525-0066,草津市矢橋町2070-1-1015,,2010-01-03,,
一般診療所,,加地眼科,525-0055,草津市野路町字片原694-6,医療法人加地クリニック,2016-04-01,,
一般診療所,,神吉医院,525-0032,草津市大路2丁目10-7,,2026-04-01,,
一般診療所,,草津ハートセンター,525-0014,草津市駒井沢町407-1,医療法人ハートセンター,2007-04-01,,
一般診療所,,草津病理アカデミー　桜ヶ丘病理診断クリニック,525-0057,草津市桜ヶ丘4丁目7-10,,2010-02-08,,
一般診療所,,草津レディースクリニック,525-0026,草津市渋川一丁目2-26－207号,医療法人真心会,2009-08-01,,
一般診療所,,くぼた眼科,525-0059,草津市野路一丁目7－21リベリー南草津202,,1999-02-01,,
一般診療所,,マティスメンタルクリニック,525-0032,草津市大路2丁目1-27,,2024-11-01,,
一般診療所,,さとうこどもクリニック,525-0066,草津市矢橋町1203-1,,2009-12-03,,
一般診療所,,滋賀県草津保健所,525-8525,草津市草津３丁目14-75,滋賀県,1989-12-24,,
一般診療所,,しづ井上内科,525-0041,草津市青地町481-3,医療法人桃蘭会,2002-04-01,,
一般診療所,,すぎうら皮ふ科医院,525-0021,草津市川原二丁目15番10号,医療法人すぎうら皮ふ科医院,2007-04-01,,
一般診療所,,第二富田クリニック,525-0014,草津市駒井沢町395-1,医療法人社団富田クリニック,2008-03-03,,
一般診療所,,ダイキン工業㈱滋賀診療所,525-0044,草津市岡本町1000-2,ダイキン工業株式会社滋賀製作所,1970-10-01,,
一般診療所,,たにむらこどもクリニック,525-0027,草津市野村6-1-3ｺﾝﾌｫｰﾚＴ１,医療法人湖幸会,2000-10-01,,
一般診療所,,特別養護老人ホームぽぷら医務室,525-0028,草津市上笠１丁目１番２２号,社会福祉法人みのり,2004-07-01,,
一般診療所,,なかじま医院,525-0047,草津市追分3丁目1-14,,2004-05-11,,
一般診療所,,なかの医院,525-0023,草津市平井１丁目15-26,,2006-10-27,,
一般診療所,,にし内科クリニック,525-0029,草津市下笠町76-5,,2004-11-05,,
一般診療所,,のぞみクリニック,525-0036,草津市草津町1973番地,,2009-09-01,,
一般診療所,,はしたに眼科,525-0032,草津市大路1-11-30,医療法人厚生会,1982-07-27,,
一般診療所,,パナソニック草津健康管理室,525-0058,草津市野路東二丁目３番１－２号,パナソニック健康保険組合,1971-05-21,,
一般診療所,,松本胃腸科クリニック,525-0052,草津市西矢倉3-6-12-11,,2003-10-16,,
一般診療所,,南草津クリニック,525-0059,草津市野路1丁目8-18ｴﾙﾐﾅeeﾋﾞﾙﾃﾞｨﾝｸﾞ,,2023-04-01,,
一般診療所,,医療法人南草津けやきクリニック,525-0050,草津市南草津一丁目1番8-2階 Ｃ号室,医療法人南草津けやきクリニック,2010-03-01,,
一般診療所,,南草津坂本診療所,525-0059,草津市野路1-12-41,,2001-10-01,,
一般診療所,,南草津野村整形外科,525-0059,草津市野路1-6-27,医療法人真心会,2000-06-05,,
一般診療所,,薬師川眼科医院,525-0045,草津市若草5丁目13番地-1若草医療ﾋﾞﾙ内,,2004-04-21,,
一般診療所,,やまもとクリニック,525-0023,草津市平井2-1-1,医療法人　医心会,2011-10-01,,
一般診療所,,医療法人 九谷医院,525-0032,草津市大路1-18-31,医療法人九谷医院,1995-10-01,,
一般診療所,,医療法人 上原眼科,525-0025,草津市西渋川1-2-22,医療法人上原眼科,2004-07-01,,
一般診療所,,医療法人　板谷耳鼻咽喉科,525-0037,草津市西大路町8-28-101,医療法人板谷耳鼻咽喉科,1998-09-01,,
一般診療所,,医療法人宮本クリニック,525-0028,草津市上笠4-6-6,医療法人宮本クリニック,2000-04-01,,
一般診療所,,医療法人社団 あなむら診療所,525-0012,草津市穴村町311,医療法人社団あなむら診療所,2000-05-01,,
一般診療所,,医療法人社団 いずみ医院,525-0033,草津市東草津2-2-53,医療法人社団いずみ医院,1984-09-01,,
一般診療所,,医療法人社団 せき川クリニック,525-0027,草津市野村4-9-10,医療法人社団せき川クリニック,1993-06-01,,
一般診療所,,井上医院,525-0034,草津市草津四丁目5-23,医療法人井上医院,2023-06-01,,
一般診療所,,岡診療所,525-0027,草津市野村6-14-14,,1988-11-28,,
一般診療所,,岡本医院,525-0057,草津市桜ケ丘5-3-10,,1984-11-01,,
一般診療所,,㈱メタルアート診療所,525-0059,草津市野路三丁目2-18,株式会社メタルアート,1971-06-11,,
一般診療所,,橋本内科医院,525-0022,草津市川原町302-5,,1996-12-02,,
一般診療所,,医療法人　佐竹クリニック（内科胃腸科）,525-0037,草津市西大路町8-28-102,医療法人佐竹クリニック,2005-10-01,,
一般診療所,,滋賀県赤十字血液センター,525-0072,草津市笠山7-1-45,日本赤十字社,S54.4.1 H26.2.10,,
一般診療所,,滋賀県赤十字血液センター　草津出張所　びわ湖草津献血ルーム,525-0025,草津市西渋川１丁目1番14号,日本赤十字社,2013-02-14,,
一般診療所,,耳鼻咽喉科岸本医院,525-0027,草津市野村3-17-19,,1995-12-01,,
一般診療所,,医療法人社団湖光会　若草診療所,525-0045,草津市若草5-13-1,医療法人社団湖光会,2003-10-01,,
一般診療所,,ひの医院,525-0027,草津市野村8-9-1,,2026-01-01,,
一般診療所,,水口クリニック,525-0027,草津市野村1-1-10,一般社団法人水口病院 H24.4.1～,1991-09-01,,
一般診療所,,中神産業医クリニック,525-0037,草津市西大路町11-10,,1990-07-01,,
一般診療所,,中野クリニック,525-0032,草津市大路1-15-43,,1995-04-17,,
一般診療所,,津田皮フ科,525-0032,草津市大路1-15-21,医療法人　津田皮フ科,1998-06-22,,
一般診療所,,特別養護老人ホーム菖蒲の郷医務室,525-0042,草津市山寺町８３７番地,社会福祉法人聖優会,1992-07-01,,
一般診療所,,特別養護老人ホーム第二菖蒲の郷医務室,525-0048,草津市追分南５丁目１８番８号,社会福祉法人聖優会,2010-05-21,,
一般診療所,,医療法人久敬会南草津米倉眼科,525-0059,草津市野路1-4-16-301,医療法人久敬会,2025-01-01,,
一般診療所,,入江産婦人科,525-0032,草津市大路2-3-11,,1997-01-03,,
一般診療所,,白波瀬小児科,525-0027,草津市野村8-9-37,,1998-04-01,,
一般診療所,,富田クリニック,525-0025,草津市西渋川1-3-22,医療法人社団富田クリニック,1999-12-01,,
一般診療所,,立命館診療所分室,525-0058,草津市野路東1-1-1,学校法人立命館,1994-04-01,,
一般診療所,,はしもと赤ちゃんキッズクリニック,525-0050,草津市南草津三丁目１番９号,医療法人成育会,2011-04-01,,
一般診療所,,介護老人福祉施設なみき医務室,525-0028,草津市上笠1丁目1-16,社会福祉法人みのり,2011-05-16,,
一般診療所,,医療法人社団ラナンキュラス会 麗ビューティー皮フ科クリニック,525-0037,草津市西大路町４番３２号,医療法人社団ラナンキュラス会,2011-05-30,,
一般診療所,,わかくさ耳鼻咽喉科,525-0045,草津市若草５丁目13-1,,2011-08-01,,
一般診療所,,こまいざわ整形外科クリニック,525-0014,草津市駒井沢町397-1,,2012-04-01,,
一般診療所,,特別養護老人ホーム風和里医務室,525-0044,草津市岡本町217番地,社会福祉法人よつば会,2012-08-01,,
一般診療所,,北山田診療所,525-0061,草津市北山田町245番地１,医療法人　道心会,2012-09-01,,
一般診療所,,KIA　CLINIC　滋賀草津院,535-0032,草津市大路1-15-43　荒川ﾋﾞﾙ２階201,,2013-04-06,,
一般診療所,,清水産婦人科,525-0027,草津市野村三丁目18番5号,医療法人双葉会清水産婦人科,2013-07-31,,
一般診療所,,特別養護老人ホーム　帆の里　医務室,525-0066,草津市矢橋町５００番１,社会福祉法人よつば会,2013-10-01,,
一般診療所,,滋賀県身体障害者更生相談所判定室,525-0072,草津市笠山七丁目8-138　県立長寿社会福祉センタ―別館２階,,2014-02-01,,
一般診療所,,伊藤内科クリニック,525-0037,草津市西大路町4-32　106-1,,2014-03-03,,
一般診療所,,指月病理診断科,525-0024,草津市平井町395-38,,2015-01-17,,
一般診療所,,せの耳鼻咽喉科,525-0023,草津市平井1-19-6,,2015-02-01,,
一般診療所,,由良クリニック眼科分院,525-0067,草津市新浜町300番地イオンモール草津１F,医療法人碧藍会,2015-06-01,,
一般診療所,,ふじさわ小児クリニック,525-0032,草津市大路二丁目9番4号,,2015-09-01,,
一般診療所,,iMEP診療所,525-0055,草津市野路町3023番地,ニプロ株式会社,2016-04-16,,
一般診療所,,かんだクリニック,525-0055,草津市野路町686,,2016-05-06,,
一般診療所,,特別養護老人ホーム　萩の里　医務室,525-0058,草津市野路東二丁目4番10号,社会福祉法人よつば会,2016-07-01,,
一般診療所,,医療法人スマイル　玉川スマイルクリニック,525-0059,草津市野路8丁目22-13,医療法人スマイル,2016-10-01,,
一般診療所,,特別養護老人ホーム　えんゆうの郷,525-0063,草津市南山田町７６１番地,社会福祉法人 誠光福祉会,H.29.4.17,,
一般診療所,,医療法人 瑞明会 滋賀睡眠クリニック,525-0050,草津市南草津1丁目3-1,医療法人 瑞明会,H.29.7.1,,
一般診療所,,なごみ皮膚科クリニック,525-0050,草津市南草津2丁目7-22-2,,H.29.12.1,,
一般診療所,,医療法人おがわ耳鼻咽喉科,525-0047,草津市追分1丁目4番25-2,医療法人おがわ耳鼻咽喉科,2026-04-01,,
一般診療所,,みみ･はな･いびき 耳鼻咽喉科こまクリニック,525-0050,草津市南草津2丁目7-22-2,,H.29.12.3,,
一般診療所,,ささきクリニック,525-0037,草津市西大路町5-2,,2018-04-01,,
一般診療所,,せきがわ内科クリニック,525-0028,草津市上笠2-17-6 アーバス草津1F,,2018-11-07,,
一般診療所,,草津こころのクリニック,525-0032,草津市大路1-12-1 星空館3F,,2019-01-01,,
一般診療所,,竹岡診療所,525-0034,草津市南草津2丁目4-10 ベーネ南草津1F,,2019-02-01,,
一般診療所,,医療法人にじいろ会おぐまファミリークリニック,525-0050,草津市南草津二丁目４－３,医療法人にじいろ会,2019-04-01,,
一般診療所,,医療法人ひつじクリニック,525-0037,草津市西大路町4-32 エストピアプラザ２階,医療法人ひつじクリニック,2019-07-01,,
一般診療所,,医療法人かがやき会そうむらファミリークリニック,525-0048,草津市追分南四丁目6-23,医療法人かがやき会,2022-05-01,,
一般診療所,,医療法人みらいといやまこどもクリニック,525-0047,草津市追分一丁目４番２５-１号,医療法人みらい,2019-10-01,,
一般診療所,,特別養護老人ホームやまでら医務室,525-0042,草津市山寺町1118,社会福祉法人よつば会,2019-10-01,,
一般診療所,,特別養護老人ホームゆうすいのさと診療所,525-0014,草津市駒井沢町４００番地１,社会福祉法人よつば会,2019-10-01,,
一般診療所,,社会医療法人誠光会南草津健診センター,525-0050,草津市南草津二丁目3番地7,社会医療法人誠光会,2019-12-02,,
一般診療所,,みつだ内科クリニック,525-0059,草津市野路4丁目4番1号,,2020-02-03,,
一般診療所,,おかだ内科クリニック,525-0071,草津市南笠東4丁目5-30,,2020-04-01,,
一般診療所,,特別養護老人ホームやわらぎ苑診療所,525-0056,草津市南笠町８９１番地,社会福祉法人よつば会,2020-04-01,,
一般診療所,,特別養護老人ホームしあわせ診療所,525-0056,草津市南笠町９０５番地,社会福祉法人よつば会,2020-04-01,,
一般診療所,,医療法人シーエルリンク南草津あおぞらクリニック,525-0050,草津市南草津3丁目4番3-3,医療法人シーエルリンク,2022-10-01,,
一般診療所,,いりかわ耳鼻咽喉科,525-0050,草津市南草津5丁目4-14,医療法人いりかわ耳鼻咽喉科,Ｒ7.11.1法人化,,
一般診療所,,医療法人山田整形外科クリニック,525-0050,草津市南草津3丁目4番3-1,医療法人山田整形外科クリニック,2022-10-01,,
一般診療所,,久徳医院,525-0034,草津市草津2-4-17,,2020-09-01,,
一般診療所,,医療法人馰野会南草津婦人科まりこクリニック,525-0059,草津市野路1丁目13番5号南草津アクシスビル3階,医療法人馰野会,2020-10-03,,
一般診療所,,特別養護老人ホーム茜の郷,525-0029,草津市下笠町７３３－１,社会福祉法人聖優会,2021-01-01,,
一般診療所,,医療法人霜星会　滋賀美容皮膚科クリニック,525-0059,草津市野路1丁目13-5南草津ｱｸｼｽﾋﾞﾙ4階,医療法人霜星会,2023-12-01,,
一般診療所,,医療法人健尚会こばやし整形外科,525-0026,草津市渋川１丁目２番26-202号,医療法人健尚会,2021-04-01,,
一般診療所,,眞下草津医院,525-0027,草津市野村三丁目16番20-2号,医療法人眞下草津医院,2021-12-01,,
一般診療所,,滋賀もりブレストクリニック,525-0059,草津市野路一丁目13番36号,,2022-01-01,,
一般診療所,,医療法人みらい　南草津こどもクリニック,525-0059,草津市野路一丁目6-5サンコート南草津１F,医療法人みらい,2022-04-01,,
一般診療所,,南草津皮フ科,525-0055,草津市野路町652-3,医療法人A．I．R．,2022-05-02,,
一般診療所,,草津かわはらクリニック,525-0036,草津市草津町1899,医療法人碧河会草津かわはらクリニック,Ｒ7.12.1法人化,,
一般診療所,,メープル・クリニック,525-0059,草津市野路1-14-38-204,医療法人　加風,2023-04-01,,
一般診療所,,とみた腎泌尿器科クリニック,525-0050,草津市南草津二丁目1-30,,2023-04-01,,
一般診療所,,はやし脳神経外科クリニック,525-0066,草津市矢橋町102-8,医療法人かのん,2025-04-01,,
一般診療所,,AGAスキンクリニック滋賀草津院,525-0032,草津市大路一丁目12番1 星空館3階301号室,医療法人社団創美会,2023-04-08,,
一般診療所,,医療法人希会　きぼうクリニック,525-0056,草津市南草津プリムタウン四丁目８番地２－１階,医療法人希会,2023-05-01,,
一般診療所,,いうら皮ふ科クリニック,520-3025,草津市追分南1丁目1-14,医療法人いうら皮ふ科クリニック,2023-05-01,,
一般診療所,,おおにし耳鼻咽喉科,525-0066,草津市矢橋町102番地8 2階,医療法人宗結会,2023-08-01,,
一般診療所,,おかもと内科・糖尿病クリニック,525-0021,草津市川原二丁目16-39,,2023-09-04,,
一般診療所,,カノアビューティ―クリニック,525-0059,草津市野路一丁目８－１８　エルミナeeビルディング203号室,一般社団法人仁秀グループ,2023-10-17,,
一般診療所,,南草津ひだまりハートクリニック,525-0050,草津市南草津三丁目４番７,医療法人シーエルリンク,2023-11-01,,
一般診療所,,TCB 東京中央美容外科・TCB スキンクリニック　草津院,525-0032,草津市大路一丁目1番1号　エルティ９３２ビル３階,医療法人社団メディカルフロンティア,2023-12-02,,
一般診療所,,JIN CLINIC,525-0067,草津市新浜町300 イオンモール草津1F,,2024-04-01,,
一般診療所,,いわさ眼科,525-0025,草津市西渋川1-3-18,,2024-05-01,,
一般診療所,,まごころファミリークリニック,525-0025,草津市西渋川一丁目21番14号1階,医療法人長光会,2024-08-01,,
一般診療所,,医療法人社団廣瀨会銀座クリニック南草津院,525-0059,草津市野路一丁目９番地１７ VENZAITEN BLDG. MINAMIKUSATSU 4階,医療法人社団廣瀨会,2024-12-19,,
一般診療所,,みなくさメンタルクリニック,525-0059,草津市野路二丁目１６－５,,2025-07-01,,
一般診療所,,J  CLINIC,525-0059,草津市野路一丁目１５－５　フェリエ南草津３Ｆ,,2025-07-27,,
一般診療所,,みやはら整形外科,525-0046,草津市追分南二丁目１２番２号,,2025-10-01,,
一般診療所,,南草津おなかと胃・大腸カメラのクリニック,525-0050,草津市南草津二丁目３番１１,医療法人シーエルリンク,2025-11-01,,
一般診療所,,医療法人真樹会　滋賀ひかりハートクリニック,525-0065,草津市橋岡町４２番地１　スリーワン南草津１階,医療法人真樹会,2025-12-01,,
一般診療所,,医療法人四つ葉会よつば会クリニック草津院,525-0026,草津市渋川一丁目１番５０号　近鉄百貨店草津店５階,医療法人四つ葉会,2026-01-07,,
一般診療所,,おひさま眼科,525-0025,草津市西渋川一丁目２３番３０号アル・プラザ２階,医療法人愛光会,2026-02-10,,
一般診療所,,きいろのたね　こどもの発達・不登校クリニック,525-0059,草津市野路一丁目７－２１　リベリ―南草津205号,医療法人杏華会,2026-04-01,,
一般診療所,,ねこのて婦人科クリニック,525-0025,草津市西渋川一丁目２１番１４号　エルミナＭＣビル２階,,2026-05-01,,
一般診療所,,医療法人 かさはら医院,524-0012,守山市播磨田町1456-1,医療法人かさはら医院,2001-04-01,,
一般診療所,,医療法人 さくら会守山さくら内科クリニック,524-0022,守山市守山三丁目10-13,医療法人さくら会守山さくら内科クリニック,2008-10-01,,
一般診療所,,医療法人 やまもと小児科,524-0045,守山市金森町959,医療法人やまもと小児科,2006-04-01,,
一般診療所,,医療法人 藤本クリニック,524-0037,守山市梅田町2-1　セルバ守山204,医療法人藤本クリニック,2021-08-01,,
一般診療所,,医療法人社団 山岡整形外科医院,524-0041,守山市勝部1-17-28,医療法人社団山岡整形外科医院,2006-04-01,,
一般診療所,,医療法人拓真会　つかもと耳鼻咽喉科,524-0037,守山市梅田町15番7号,医療法人拓真会,2009-08-01,,
一般診療所,,うちだクリニック,524-0022,守山市守山5-8-7,,2001-12-10,,
一般診療所,,かいつぶり診療所,524-0022,守山市守山町168-1,社会福祉法人滋賀県障害児協会,2006-09-01,,
一般診療所,,グンゼ株式会社守山工場附属診療所,524-0064,守山市森川原町163,グンゼ株式会社守山工場,,,
一般診療所,,柴田クリニック,524-0012,守山市播磨田町3016-7,,2005-04-11,,
一般診療所,,医療法人德林クリニック,524-0022,守山市守山6-8-3,医療法人德林クリニック,2016-12-01,,
一般診療所,,特別養護老人ホームしがそせい苑医務室,524-0102,守山市水保町2650-1,社会福祉法人明富の郷,2003-03-01,,
一般診療所,,TOPPANｸﾞﾙｰﾌﾟ健康保険組合守山診療所,524-0051,守山市三宅町436-1,TOPPANグループ健康保険組合,1981-07-24,,
一般診療所,,ひろたに医院,524-0054,守山市大林町214-5,,1998-07-21,,
一般診療所,,ふくだ医院,524-0065,守山市山賀町字灰塚1018,,1998-06-19,,
一般診療所,,ふくはら内科クリニック,524-0041,守山市勝部１-16-27-103,,1991-05-13,,
一般診療所,,まつかわ小児科,524-0102,守山市水保町1268-20,,1995-04-14,,
一般診療所,,守山こころのクリニック,524-0041,守山市勝部一丁目１番21-202号,医療法人碧水会,2009-04-01,,
一般診療所,,旭化成守山製造所診療所(健康経営支援センター),524-0002,守山市小島町515,旭化成株式会社守山製造所,2003-12-18,,
一般診療所,,こうざき耳鼻咽喉科,524-0021,守山市吉身二丁目６番５１号,医療法人こうざき耳鼻咽喉科,1986-12-22,,
一般診療所,,医療法人 山本内科,524-0046,守山市今宿1-4-8,医療法人 山本内科,1992-09-01,,
一般診療所,,医療法人 守山内科クリニック,524-0033,守山市浮気町300-15グランドメゾン守山1-101,医療法人守山内科クリニック,1996-09-01,,
一般診療所,,医療法人 北野耳鼻科,524-0022,守山市守山5-146ｰ7,医療法人北野耳鼻科,1999-10-01,,
一般診療所,,医療法人久敬会 米倉眼科診療所,524-0041,守山市勝部１-1-21-501,医療法人久敬会,1991-04-01,,
一般診療所,,医療法人社団 きどわき医院,524-0012,守山市播磨田町3067,医療法人きどわき医院,1998-05-01,,
一般診療所,,医療法人社団 寺内整形外科,524-0022,守山市守山6-1-63,医療法人社団寺内整形外科,1997-06-01,,
一般診療所,,医療法人社団 中西整形外科,524-0021,守山市吉身3-14-21,医療法人社団　中西整形外科,1994-03-01,,
一般診療所,,岸本眼科医院,524-0022,守山市守山1-10-8,医療法人社団岸本眼科医院,1995-02-01,,
一般診療所,,久保婦人科,524-0002,守山市小島町1082,,2007-01-30,,
一般診療所,,坂井クリニック,524-0044,守山市古高町383,,1997-08-25,,
一般診療所,,山本内科婦人科クリニック,524-0037,守山市梅田町1-25,,1996-07-10,,
一般診療所,,医療法人　小西醫院,524-0103,守山市洲本町字1256-6,医療法人小西醫院,2002-04-01,,
一般診療所,,前川医院,524-0102,守山市水保町1278,,2010-04-27,,
一般診療所,,大橋医院,524-0014,守山市石田町234,,2015-04-01,,
一般診療所,,大橋内科医院,524-0014,守山市石田町275-3,医療法人大橋内科医院,2007-04-01,,
一般診療所,,津田内科医院,524-0042,守山市焔魔堂町15,,2009-11-01,,
