カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,21362-350,松喬堂,520-2331,野洲市小篠原１９９２－７　大生ビルⅡ１０３,,,2024-01-01,2029-12-31
店舗販売業,21388-350,クスリキリン堂　守山播磨田店,524-0012,守山市播磨田町３０６３,株式会社キリン堂,,2021-01-01,2026-12-31
店舗販売業,21450-350,クスリキリン堂　草津追分店,525-0048,草津市追分南六丁目１－６,株式会社キリン堂,,2021-01-01,2026-12-31
店舗販売業,21460-350,ドラッグユタカ　志津東草津店,525-0047,草津市追分一丁目３－３０,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,21474-350,ココカラファイン　ガーデンシティ草津店,525-0032,草津市大路一丁目１－１　エルティ９３２＆ガーデンシティ草津２階,株式会社ココカラファイン　ヘルスケア,,2021-01-01,2026-12-31
店舗販売業,21483-350,クスリキリン堂　守山水保店,524-0102,守山市水保町１２６７,株式会社キリン堂,,2021-01-01,2026-12-31
店舗販売業,21512-350,ドラッグユタカ　栗東高野店,520-3045,栗東市高野６２０－１,株式会社ユタカファーマシー,,2021-01-01,2026-12-31
店舗販売業,21628-350,ドラッグユタカ　西草津店,525-0028,草津市上笠二丁目３３－１２,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,21632-350,Ｋａｍｐｏ　Ｓａｌｏｎ　Ｆｌｏｒａ,525-0059,草津市野路一丁目１４－３８　サンマール南草津３０３,株式会社ＦＬＯＲＡ,,2024-01-01,2029-12-31
店舗販売業,21675-350,西友野洲店　薬売場,520-2362,野洲市市三宅１０１３,株式会社西友,,2021-01-01,2026-12-31
店舗販売業,21682-350,株式会社薬舗たんぽぽ,520-3015,栗東市安養寺二丁目５－１５,株式会社薬舗たんぽぽ,,2021-01-01,2026-12-31
店舗販売業,21728-350,クスリキリン堂　野洲店,520-2353,野洲市久野部１４９－１,株式会社キリン堂,,2022-01-01,2027-12-31
店舗販売業,21760-350,西友南草津店　薬売場,525-0055,草津市野路一丁目１３－３６,株式会社西友,,2022-01-01,2027-12-31
店舗販売業,21775-350,なかたに薬店,525-0005,草津市志那町９１６,,,2023-01-01,2028-12-31
店舗販売業,21777-350,健康相談にこにこ堂,525-0053,草津市矢倉一丁目５－３３,有限会社にこにこ堂,,2023-01-01,2028-12-31
店舗販売業,21815-350,ザ・ビッグエクストラ野洲店ドラッグ,520-2435,野洲市乙窪４８０－１,イオンビッグ株式会社,,2023-01-01,2028-12-31
店舗販売業,21889-350,野洲行畑薬店,520-2341,野洲市行畑二丁目１－３　１F,,,2024-01-01,2029-12-31
店舗販売業,21906-350,ドラッグジャパン　栗東店,520-3024,栗東市小柿三丁目５,株式会社スギ薬局,,2025-01-01,2030-12-31
店舗販売業,21914-350,ココカラファイン　平井店,525-0023,草津市平井五丁目１７－１３,株式会社ココカラファイン　ヘルスケア,,2025-01-01,2030-12-31
