施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
道次商店,526-0037,長浜市高田町６－３,,707356111,R08/03/01,R08/03/01,※菓子製造業,菓子製造,,R14/02/29,,,,
六珈,521-0211,米原市梓河内４９８　メゾン２１Ａ棟１階１０１,,707357101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,,R13/10/31,,,,
フードアンドウッド木,526-0015,長浜市神照町４７６－５,,707359101,R07/07/01,R07/07/01,※飲食店営業,一般食堂,,R12/06/30,,,,
フードアンドウッド木,526-0015,長浜市神照町４７６－５,,707359111,R04/12/06,R04/12/06,※菓子製造業,菓子製造,パン製造,R10/06/30,,,,
砂Ｂ　‐ｓｕｎａｂｉ‐,526-0021,長浜市八幡中山町２９０－８,,707363101,R08/03/01,R08/03/01,※飲食店営業,簡易な営業,,R14/06/30,簡易な営業に限る,,,
株式会社浜きゅう　炊飯場,526-0031,長浜市八幡東町１１２,株式会社浜きゅう,707365101,R08/03/01,R08/03/01,※飲食店営業,給食,,R14/02/29,,,,
かなやキッチン,521-0035,米原市醒井６２１－３,,707366101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,,R13/10/31,,,,
かなやキッチン,521-0035,米原市醒井６２１－３,,707366111,R07/11/01,R07/11/01,※菓子製造業,菓子製造,,R13/10/31,,,,
さざなみ工房,529-0701,長浜市西浅井町塩津浜１７８０－１,有限会社西浅井総合サービス,707368129,R03/12/02,R03/12/02,※漬物製造業,漬物（浅漬け除く。）製造,浅漬製造,R10/10/31,,,,
池田商店,521-0305,米原市上板並２０１－２,,707370125,R06/11/01,R06/11/01,※そうざい製造業,そうざい製造,そう漬物,R11/10/31,,,,
すなっく朋子,526-0054,長浜市大宮町３－３　アイズビル１Ｆ,,707371101,R08/03/01,R08/03/01,※飲食店営業,簡易な営業,,R14/02/29,簡易な営業に限る,,,
はれと休日。,521-0221,米原市池下８６７－４（クチートとみおか内）,,707374101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,"仕出し屋,弁当屋",R13/10/31,,,,
はれと休日。,521-0221,米原市池下８６７－４（クチートとみおか内）,,707374111,R07/11/01,R07/11/01,※菓子製造業,菓子製造,"パン製造,調理パン",R13/10/31,,,,
スナック　ゆき,529-0205,長浜市高月町唐川１－８,,707378101,R08/03/01,R08/03/01,※飲食店営業,簡易な営業,,R14/02/29,簡易な営業に限る,,,
