施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
山本養魚場,525-0041,草津市青地町４２２,,200073116,R06/04/08,R06/04/08,※水産製品製造業,その他水産製品製造,,R13/02/28,,,,
パイン株式会社　滋賀工場,525-0048,草津市追分南九丁目１番１号,パイン株式会社,200090111,R04/03/01,R04/03/01,※菓子製造業,菓子製造,,R10/02/29,,,,
古川酒造,525-0053,草津市矢倉一丁目３－３３,古川酒造有限会社,200107121,R06/03/01,R06/03/01,※酒類製造業,酒類製造,,R12/02/28,,,,
トリコロ－ル,525-0034,草津市草津二丁目１０－２７,,200205101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
太田酒造,525-0034,草津市草津三丁目１０－３７,太田酒造株式会社,200222121,R06/03/01,R06/03/01,※酒類製造業,酒類製造,,R12/02/28,,,,
太田酒造,525-0034,草津市草津三丁目１０－３７,太田酒造株式会社,200222129,R06/08/15,R06/08/15,※漬物製造業,漬物（浅漬け除く。）製造,,R13/02/28,,,,
京屋商店,525-0034,草津市草津三丁目１０－４４,,200223124,R05/03/01,R05/03/01,※麺類製造業,生めん製造,,R10/02/29,,,,
餃子の王将　国道草津店,525-0034,草津市草津三丁目１４－２５,株式会社王将フードサービス,200239101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R12/02/28,,,,
さやま,525-0036,草津市草津町１４７９－４,,200287101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
しか（一品料理の店）,525-0032,草津市大路一丁目１６－３,,200378101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
いずみや,525-0032,草津市大路一丁目４－１５,,200415101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
かね吉本店,525-0032,草津市大路一丁目４－１８,,200416103,R04/03/01,R04/03/01,※食肉販売業,獣肉販売,,R10/02/29,とさつ・解体をしないこと,,,
かね吉本店,525-0032,草津市大路一丁目４－１８,,200417101,R04/03/01,R04/03/01,※飲食店営業,そうざい屋,仕出し屋,R10/02/29,,,,
じゅえるるーむ,525-0032,草津市大路一丁目５－２,,200424101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
近江　スエヒロ　本店,525-0032,草津市大路三丁目１－３９,日本観光開発株式会社,200494101,R06/03/01,R06/03/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R13/02/28,,,,
近江　スエヒロ　本店,525-0032,草津市大路三丁目１－３９,日本観光開発株式会社,200494103,R06/03/01,R06/03/01,※食肉販売業,獣肉販売,鳥肉販売,R13/02/28,とさつ・解体をしないこと,,,
近江　スエヒロ　本店,525-0032,草津市大路三丁目１－３９,日本観光開発株式会社,200494125,R06/03/01,R06/03/01,※そうざい製造業,弁当製造,そう製造,R13/02/28,,,,
万華鏡,525-0037,草津市西大路町５７４－１３,株式会社富士俊,200512101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
得得　草津店,525-0059,草津市野路五丁目１３－８,株式会社家族亭,200609101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
平　（割烹）,525-0059,草津市野路二丁目５－１２,,200611101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,弁当屋,R11/02/28,,,,
丸重（焼肉の店）,525-0059,草津市野路二丁目２３－９,有限会社マルス,200615101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
きらく　（大衆割烹）,525-0055,草津市野路東五丁目１２－１,,200653101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
酔月,525-0055,草津市野路町４５５－３,,200770101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
ナポリ,525-0066,草津市矢橋町８６２－６,,200940101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
アラジン,525-0061,草津市北山田町３４３,,200951101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
魚数,525-0015,草津市集町１６２－１,有限会社魚数,201053101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,仕出し屋,R11/02/28,,,,
庄九郎,525-0016,草津市北大萱町５６２－１,,201112101,R05/03/01,R05/03/01,※飲食店営業,仕出し屋,"そうざい,弁当屋",R11/02/28,,,,
庄九郎,525-0016,草津市北大萱町５６２－１,,201112103,R05/03/01,R05/03/01,※食肉販売業,獣肉販売,鳥肉販売,R11/02/28,とさつ・解体をしないこと,,,
庄九郎,525-0016,草津市北大萱町５６２－１,,201112104,R05/03/01,R05/03/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R11/02/28,,,,
まつみ川魚店,525-0005,草津市志那町１４２８－４,,201115116,R05/03/01,R05/03/01,※水産製品製造業,その他水産製品製造,,R11/02/28,,,,
赤い風船（スナック）,524-0022,守山市守山六丁目８－１０－１,,201195101,R04/11/01,R04/11/01,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
棒由,524-0022,守山市守山二丁目１０－５,有限会社棒由商店,201198103,R06/11/01,R06/11/01,※食肉販売業,獣肉販売,鳥肉販売,R12/10/31,とさつ・解体をしないこと,,,
岡田食堂,524-0022,守山市守山六丁目６－１４,,201230101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,弁当屋,R09/10/31,,,,
洋澄（喫茶）,524-0022,守山市守山六丁目８－１３－１,,201253101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,,R10/10/31,,,,
若狭屋,524-0013,守山市下之郷一丁目４－６１　１２５番地１,,201310111,R03/11/01,R03/11/01,※菓子製造業,菓子製造,,R09/10/31,,,,
あお木,524-0013,守山市下之郷一丁目４－５１,,201311101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,簡易な営業に限る,,,
平井亭,524-0037,守山市梅田町１４－３,,201381101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,,R13/10/31,,,,
旭,524-0041,守山市勝部一丁目１２－３９,,201472101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
エッセン,524-0041,守山市勝部一丁目１－２１　コジマビル,,201495101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,簡易な営業に限る,,,
閻魔堂（珈琲専科）,524-0042,守山市焔魔堂町３０－５,,201517101,R04/11/01,R04/11/01,※飲食店営業,簡易な営業,,R10/10/31,簡易な営業に限る,,,
日本コカ・コーラ（株）守山工場,524-0035,守山市阿村町４９,日本コカ・コーラ株式会社,201538131,R03/11/04,R03/11/04,※食品の小分け業,乳製品小分け（固形物に限る。）,,R11/10/31,,,,
大門（手打ちうどん　そば）,524-0052,守山市大門町２８－４,,201582101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
大門（手打ちうどん　そば）,524-0052,守山市大門町２８－４,,201582130,R04/12/19,R04/12/19,※密封包装食品製造業,瓶詰食品製造,,R11/10/31,,,,
京の雨,524-0021,守山市吉身三丁目１－３６,,201610101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,簡易な営業に限る,,,
びわこキッチン,524-0021,守山市吉身三丁目４－２,,201614101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,仕出し屋,R09/10/31,,,,
菓子寅食品,524-0051,守山市三宅町１０１４,有限会社菓子寅食品,201635111,R05/11/01,R05/11/01,※菓子製造業,パン製造,調理パン,R11/10/31,,,,
高捨,524-0061,守山市赤野井町２４８,,201663101,R04/11/01,R04/11/01,※飲食店営業,仕出し屋,,R09/10/31,,,,
高捨,524-0061,守山市赤野井町２４８,,201663103,R04/11/01,R04/11/01,※食肉販売業,獣肉販売,鳥肉販売,R09/10/31,とさつ・解体をしないこと,,,
高捨,524-0061,守山市赤野井町２４８,,201663104,R04/11/01,R04/11/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R09/10/31,,,,
すし岩,524-0014,守山市石田町３７２－４,,201683101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,仕出し屋,R09/10/31,,,,
田中弥,524-0002,守山市小島町１８０５－３,,201694111,R03/11/01,R03/11/01,※菓子製造業,菓子製造,,R09/10/31,,,,
ケンタッキーフライドチキン　近江守山店,524-0012,守山市播磨田町４４１,株式会社シー・オー・エム,201727101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,"そうざい,弁当屋",R11/10/31,,,,
クラウン（喫茶）,524-0011,守山市今市町５－６,,201744101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
マルワ,524-0003,守山市中町１２９－１,株式会社丸和,201756120,R07/11/01,R07/11/01,※みそ又はしょうゆ製造業,しょうゆ製造,しょう加,R12/10/31,,,,
はま（軽食堂）,524-0104,守山市木浜町１８８９－１,,201783101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,仕出し屋,R13/10/31,,,,
中島食料品店,524-0104,守山市木浜町２１７７,,201791101,R07/11/01,R07/11/01,※飲食店営業,そうざい屋,仕出し屋,R13/10/31,,,,
守山漁業協同組合,524-0104,守山市木浜町２２９７－１,守山漁業協同組合,201795116,R03/11/01,R03/11/01,※水産製品製造業,その他水産製品製造,,R09/10/31,,,,
今魚佐,524-0101,守山市今浜町２５０１,,201813125,R03/11/01,R03/11/01,※そうざい製造業,そうざい製造,そう漬物,R09/10/31,,,,
ジャパンエースゴルフ倶楽部,520-3011,栗東市下戸山５００,株式会社アヤハゴルフリンクス,201948101,R06/11/01,R06/11/01,※飲食店営業,一般食堂,,R12/10/31,,,,
ジャパンエースゴルフ倶楽部,520-3011,栗東市下戸山５００,株式会社アヤハゴルフリンクス,201948124,R04/09/16,R04/09/16,※麺類製造業,生めん製造,,R10/10/31,,,,
ジャパンエースゴルフ倶楽部,520-3011,栗東市下戸山５００,株式会社アヤハゴルフリンクス,201948125,R04/11/01,R04/11/01,※そうざい製造業,そうざい製造,,R10/10/31,,,,
恵美,520-3015,栗東市安養寺七丁目３－１－１,,202006101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
太陽,520-3022,栗東市上鈎５３　５３－６,有限会社太陽,202043101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,簡易な営業に限る,,,
ココス栗東店,520-3024,栗東市小柿四丁目５－１５,株式会社ファイブスター,202121101,R06/11/01,R06/11/01,※飲食店営業,一般食堂,,R12/10/31,,,,
クプルピュセ,520-3024,栗東市小柿六丁目１０－１６　吉田ビル１－１,,202133111,R05/11/01,R05/11/01,※菓子製造業,菓子製造,,R11/10/31,,,,
ＰＩＮＯＬＩ,520-3024,栗東市小柿六丁目３－３６,,202138101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,,R13/10/31,,,,
ＰＩＮＯＬＩ,520-3024,栗東市小柿六丁目３－３６,,202138111,R07/12/03,R07/12/03,※菓子製造業,菓子製造,,R13/10/31,,,,
株式会社駅前米屋,520-3043,栗東市林１４,株式会社駅前米屋,202254111,R07/11/01,R07/11/01,※菓子製造業,菓子製造,,R13/10/31,,,,
株式会社駅前米屋,520-3043,栗東市林１４,株式会社駅前米屋,202254125,R07/11/01,R07/11/01,※そうざい製造業,弁当製造,,R13/10/31,,,,
魚新楼,520-3016,栗東市小野７８９,株式会社魚新楼,202310101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,"仕出し屋,弁当屋",R14/10/31,,,,
魚新楼,520-3016,栗東市小野７８９,株式会社魚新楼,202310125,R07/11/01,R07/11/01,※そうざい製造業,そうざい製造,弁当製造,R14/10/31,,,,
㈱アペックス・福山通運,520-3047,栗東市手原八丁目２－２８,株式会社アペックス西日本,202328102,R05/07/01,R05/07/01,※調理機能を有する自動販売機による営業,,,R10/06/30,,自動販売機による営業（設置台数は１台）に限る,,
餃子の王将　栗東店,520-3046,栗東市大橋四丁目３,株式会社王将フードサービス,202330101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/10/31,,,,
京都帝酸株式会社滋賀工場,520-3041,栗東市出庭４８７,京都帝酸株式会社,202348132,R06/11/01,R06/11/01,※添加物製造業,添加物製造,,R11/10/31,,,,
出世寿司,520-3041,栗東市出庭５４１－３,,202375101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,,R13/10/31,,,,
谷久商店,520-3047,栗東市手原一丁目８－８,,202458101,R05/11/27,R05/11/27,※飲食店営業,弁当屋,そうざい,R11/10/31,,,,
谷久商店,520-3047,栗東市手原一丁目８－８,,202458103,R05/11/27,R05/11/27,※食肉販売業,獣肉販売,鳥肉販売,R11/10/31,とさつ・解体をしないこと,,,
谷久商店,520-3047,栗東市手原一丁目８－８,,202458104,R04/11/01,R04/11/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R10/10/31,,,,
琵琶湖カントリー倶楽部,520-3005,栗東市御園５１３,ヤンマーコーポレーション株式会社,202500101,R04/09/02,R04/09/02,※飲食店営業,一般食堂,"弁当屋,そうざい",R10/10/31,,,,
琵琶湖カントリー倶楽部,520-3005,栗東市御園５１３,ヤンマーコーポレーション株式会社,202500103,R04/11/01,R04/11/01,※食肉販売業,獣肉販売,鳥肉販売,R10/10/31,とさつ・解体をしないこと,,,
えぞ（サッポロラーメン）,520-3005,栗東市御園８１７－４,,202511101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
太田酒造栗東工場,520-3003,栗東市荒張１５０７－１,太田酒造株式会社,202543121,R03/11/01,R03/11/01,※酒類製造業,酒類製造,,R09/10/31,,,,
名城食品株式会社　滋賀工場,520-3001,栗東市東坂５３－１８,名城食品株式会社,202549124,R07/11/01,R07/11/01,※麺類製造業,生めん製造,ゆでめん,R14/10/31,,,,
駒寿し,520-3031,栗東市綣六丁目１３－７,,202602101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,"仕出し屋,弁当屋",R09/10/31,,,,
バンビ（喫茶）,520-3031,栗東市綣五丁目６－２５,,202607101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,,,,
中井大宝堂,520-3031,栗東市綣七丁目８－１１,,202620111,R07/11/01,R07/11/01,※菓子製造業,菓子製造,,R13/10/31,,,,
蘭,520-3035,栗東市霊仙寺二丁目１－１０,,202628101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
フレンドマート小柿店,520-3024,栗東市小柿九丁目１１－１３,株式会社平和堂,202657101,R05/02/16,R05/02/16,※飲食店営業,そうざい屋,"弁当屋,仕出し屋",R11/10/31,,,,
美園,520-2413,野洲市吉地１３３１,,202676101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,,R10/06/30,,,,
うお弥,520-2415,野洲市須原４１,,202715101,R05/07/01,R05/07/01,※飲食店営業,仕出し屋,,R11/06/30,,,,
多胡製菓,524-0201,野洲市吉川１２４２,,202736111,R03/07/01,R03/07/01,※菓子製造業,菓子製造,,R09/06/30,,,,
あやめ荘,524-0202,野洲市菖蒲２５２,,202743101,R03/07/01,R03/07/01,※飲食店営業,簡易宿所,"一般食堂,仕出し屋",R09/06/30,,,,
コスモス（コーヒーハウス）,520-2342,野洲市野洲１４４３－１１,,202766101,R03/07/01,R03/07/01,※飲食店営業,簡易な営業,,R09/06/30,簡易な営業に限る,,,
グルッペ,520-2342,野洲市野洲１４４３－１２,,202767101,R03/07/01,R03/07/01,※飲食店営業,一般食堂,,R09/06/30,,,,
暁酒造有限会社,520-2331,野洲市小篠原１３８９,暁酒造有限会社,202872121,R05/07/01,R05/07/01,※酒類製造業,酒類小分け,,R10/06/30,,,,
キッチンライフ,520-2333,野洲市栄３５－３５,,202875101,R04/07/01,R04/07/01,※飲食店営業,弁当屋,,R10/06/30,,,,
フレンドマート野洲栄店　精肉,520-2331,野洲市栄５－３,株式会社平和堂,202880103,R07/07/01,R07/07/01,※食肉販売業,獣肉販売,鳥肉販売,R14/06/30,とさつ・解体をしないこと,,,
新橋梅ゆかり屋,520-2361,野洲市北野一丁目５－３５,,202923101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,仕出し屋,R10/06/30,,,,
アラディン,520-2361,野洲市北野一丁目２１－２０,,202951101,R03/07/01,R03/07/01,※飲食店営業,一般食堂,,R09/06/30,,,,
ココス野洲店,520-2331,野洲市小篠原３８９－１,株式会社ファイブスター,202955101,R06/07/01,R06/07/01,※飲食店営業,一般食堂,,R13/06/30,,,,
アキレス第１工場社員食堂,520-2332,野洲市妙光寺９５,株式会社ニッコクトラスト,203014101,R03/07/01,R03/07/01,※飲食店営業,給食,,R09/06/30,,,,
近江希望が丘ユースホステル,520-2321,野洲市北櫻９７８,一般財団法人　日本ユースホステル協会,203038101,R07/07/01,R07/07/01,※飲食店営業,一般食堂,簡易宿所,R13/06/30,,,,
株式会社ウメムラ,520-2304,野洲市永原８２９,株式会社ウメムラ,203056131,R07/07/01,R07/07/01,※食品の小分け業,菓子小分け,,R12/06/30,,,,
白井製麺所,520-2352,野洲市冨波乙２５９,,203090124,R08/07/01,R08/07/01,※麺類製造業,生めん製造,ゆでめん,R14/06/30,,,,
ひょうたん村,524-0104,守山市木浜町１８８９－４,,203141101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,,R11/10/31,,,,
重太楼,520-3042,栗東市辻４８６－３,株式会社重太楼,203143101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,仕出し屋,R14/10/31,,,,
五条屋食料品店,520-2424,野洲市五条４６,,203155101,R04/07/01,R04/07/01,※飲食店営業,仕出し屋,,R10/06/30,,,,
五条屋食料品店,520-2424,野洲市五条４６,,203155104,R04/07/01,R04/07/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R10/06/30,,,,
ふじや食料品店,520-2314,野洲市小堤３７３,,203248122,R05/07/01,R05/07/01,※豆腐製造業,豆腐製造,豆腐加工,R11/06/30,,,,
七輪屋,520-2361,野洲市北野一丁目１１－２,,203251101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,,R10/06/30,,,,
有限会社由貴産業,520-2342,野洲市野洲４２０,有限会社由貴産業,203292111,R08/07/01,R08/07/01,※菓子製造業,菓子製造,,R14/06/30,,,,
株式会社南洋軒,525-0047,草津市追分一丁目１－３３,株式会社南洋軒,203313111,R08/03/01,R08/03/01,※菓子製造業,菓子製造,,R15/02/28,,,,
株式会社南洋軒,525-0047,草津市追分一丁目１－３３,株式会社南洋軒,203313125,R04/03/01,R04/03/01,※そうざい製造業,弁当製造,そう製造,R11/02/28,,,,
アンジェリック・ドーワ,520-3015,栗東市安養寺六丁目９－６１,,203380111,R06/11/01,R06/11/01,※菓子製造業,菓子製造,,R12/10/31,,,,
お好み焼き　さき,520-3014,栗東市川辺３０８－２１,,203391101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,,R10/10/31,,,,
ラーメン　関所,520-3045,栗東市高野３１８,,203510101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,,R10/10/31,,,,
杉江鶏肉店,525-0055,草津市野路町４４９,,203550103,R05/03/01,R05/03/01,※食肉販売業,鳥肉販売,,R11/02/28,とさつ・解体をしないこと,,,
お好み焼き　たぶち,525-0061,草津市北山田町３５７－５,,203618101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
アモーレ　あい,520-2331,野洲市小篠原９９０－１５,,203715101,R08/07/01,R08/07/01,※飲食店営業,一般食堂,そうざい,R14/06/30,,,,
きらく,525-0034,草津市草津二丁目１６－２８,,203744101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
岡崎製菓,525-0048,草津市追分南三丁目９－４,,203765111,R05/03/01,R05/03/01,※菓子製造業,菓子製造,,R12/02/28,,,,
ラポルテ　１１,525-0071,草津市南笠東四丁目３－１６,株式会社Ｆ・Ｈ企画,203796101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
ミートショップ　マエダ,524-0022,守山市守山六丁目１－１,,203835103,R05/11/01,R05/11/01,※食肉販売業,獣肉販売,鳥肉販売,R11/10/31,とさつ・解体をしないこと,,,
有限会社　北川商店,520-3016,栗東市小野３７４－７,有限会社北川商店,203860101,R07/11/01,R07/11/01,※飲食店営業,そうざい屋,,R13/10/31,,,,
有限会社　北川商店,520-3016,栗東市小野３７４－７,有限会社北川商店,203860103,R07/11/01,R07/11/01,※食肉販売業,獣肉販売,鳥肉販売,R13/10/31,とさつ・解体をしないこと,,,
有限会社長谷江州寿司,525-0041,草津市青地町４７８－８,有限会社長谷江州寿司,203866101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,仕出し屋,R10/02/29,,,,
お好み焼　のん,520-3036,栗東市十里３４８－３,,203869101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R10/10/31,,,,
遠藤醤油株式会社,524-0003,守山市中町１６２,遠藤醤油株式会社,203880120,R05/11/01,R05/11/01,※みそ又はしょうゆ製造業,しょうゆ製造,,R10/10/31,,,,
有限会社栗東あられ本舗,520-3046,栗東市大橋四丁目４－２１,有限会社栗東あられ本舗,203937111,R03/11/01,R03/11/01,※菓子製造業,菓子製造,,R09/10/31,,,,
肉のふくもと,520-3017,栗東市六地蔵９７６,,203940101,R03/11/01,R03/11/01,※飲食店営業,そうざい屋,,R09/10/31,,,,
肉のふくもと,520-3017,栗東市六地蔵９７６,,203940103,R03/11/01,R03/11/01,※食肉販売業,獣肉販売,鳥肉販売,R09/10/31,とさつ・解体をしないこと,,,
喫茶＆レストハウス　ホルツ,524-0044,守山市古高町２５５－１,,203983101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
??野家　８号線栗東店,520-3041,栗東市出庭５４２,株式会社??野家,204029101,R07/11/01,R07/11/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R13/10/31,,,,
喫茶　ブラウン,525-0029,草津市下笠町８１６－１３,,204072101,R08/03/01,R08/03/01,※飲食店営業,一般食堂,,R14/02/29,,,,
コーヒーショップ　楡,525-0054,草津市東矢倉三丁目３４－５１,,204116101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,,R10/02/29,,,,
スナック　ココ,520-2361,野洲市北野一丁目９－１８チアーハウス４Ｆ,,204128101,R03/07/01,R03/07/01,※飲食店営業,簡易な営業,,R09/06/30,簡易な営業に限る,,,
てっぱんはうす　道草,520-3026,栗東市下鈎１１９５－４４・４５,,204131101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
ユニオンスクエア　カフェテリア,525-0058,草津市野路東一丁目１－１,立命館生活協同組合,204134101,R07/03/01,R07/03/01,※飲食店営業,一般食堂,仕出し屋,R13/02/28,,,,
魚忠ママセンター,520-2413,野洲市吉地１１５５,株式会社魚忠,204190103,R05/07/01,R05/07/01,※食肉販売業,獣肉販売,鳥肉販売,R11/06/30,とさつ・解体をしないこと,,,
魚忠ママセンター,520-2413,野洲市吉地１１５５,株式会社魚忠,204190104,R05/07/01,R05/07/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R11/06/30,,,,
魚忠ママセンター,520-2413,野洲市吉地１１５５,株式会社魚忠,204190125,R06/04/22,R06/04/22,※そうざい製造業,そうざい製造,そう漬物,R12/06/30,,,,
スナックフレンド,525-0032,草津市大路一丁目２－３,,204286101,R04/03/01,R04/03/01,※飲食店営業,簡易な営業,,R10/02/29,簡易な営業に限る,,,
有限会社魚寅楼,525-0034,草津市草津二丁目１２－３,有限会社魚寅楼,204359101,R04/03/01,R04/03/01,※飲食店営業,一般食堂,仕出し屋,R10/02/29,,,,
バルタン,525-0044,草津市岡本町８４３－２,,204367101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,,R11/02/28,,,,
ホテル　ジィニア,524-0102,守山市水保町２８９１－２２２,株式会社アントレ,204372101,R03/11/01,R03/11/01,※飲食店営業,簡易な営業,,R09/10/31,簡易な営業に限る,,,
マツヤスーパー　矢倉店,525-0054,草津市東矢倉四丁目５５５,株式会社マツヤスーパー,204430111,R05/03/01,R05/03/01,※菓子製造業,菓子製造,パン製造,R12/02/28,,,,
ビジネス旅館栗東,520-3045,栗東市高野２２０,有限会社ビジネス旅館栗東,204442101,R04/11/01,R04/11/01,※飲食店営業,旅館・ホテル,,R10/10/31,,,,
ダイハツディーゼル（株）守山組立検査第２棟,524-0035,守山市阿村町４５,サントリービバレッジソリューション株式会社,204519102,R05/07/01,R05/07/01,※調理機能を有する自動販売機による営業,,,R10/06/30,自動販売機による営業（設置台数は１台）に限る,,,
有限会社和風れすとらんベアー,525-0055,草津市野路町４６７－２０,有限会社和風れすとらんベアー,204535101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/02/28,,,,
有限会社　吉川ばじろ商店,524-0201,野洲市吉川１１９９,有限会社吉川ばじろ商店,204571101,R04/07/01,R04/07/01,※飲食店営業,仕出し屋,"弁当屋,そうざい",R10/06/30,,,,
有限会社　吉川ばじろ商店,524-0201,野洲市吉川１１９９,有限会社吉川ばじろ商店,204571104,R04/07/01,R04/07/01,※魚介類販売業,鮮魚介類の処理,生食魚処,R10/06/30,,,,
有限会社　吉川ばじろ商店,524-0201,野洲市吉川１１９９,有限会社吉川ばじろ商店,204571125,R07/07/01,R07/07/01,※そうざい製造業,弁当製造,,R13/06/30,,,,
つかさ寿司,520-2413,野洲市吉地１３０９,有限会社つかさ寿司,204575101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,仕出し屋,R10/06/30,,,,
地鶏料理　味千両,520-3045,栗東市高野３３５,,204614101,R06/11/01,R06/11/01,※飲食店営業,一般食堂,仕出し屋,R12/10/31,,,,
焼肉海鮮炭火房　わんさか,524-0046,守山市今宿四丁目１－１４,,204652101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,,R11/10/31,,,,
ラウンジ　杏里,520-2361,野洲市北野一丁目９－１８チアーハウス２Ｆ,,204656101,R05/07/01,R05/07/01,※飲食店営業,簡易な営業,,R11/06/30,簡易な営業に限る,,,
ときわ食堂,525-0027,草津市野村三丁目３－２１,,204675101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,弁当屋,R11/02/28,,,,
有限会社　宗兵衛本店,525-0032,草津市大路二丁目２－１,有限会社宗兵衛本店,204694101,R05/03/01,R05/03/01,※飲食店営業,一般食堂,仕出し屋,R11/02/28,,,,
ラーメン藤　物部店,524-0044,守山市古高町４２０,,204754101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
ラベンダー,525-0032,草津市大路一丁目４－３１アーバンホテル草津２Ｆ,アーバンホテルシステム株式会社,204779101,R08/03/01,R08/03/01,※飲食店営業,簡易な営業,,R14/02/29,簡易な営業に限る,,,
Ｃａｆ?　Ｒｅｓｔａｕｒａｎｔ　Ｌａｖｅｎｄｅｒ　カフェ　レストラン　ラベンダー,525-0032,草津市大路一丁目４－３１アーバンホテル草津１Ｆ,アーバンホテルシステム株式会社,204780101,R08/03/01,R08/03/01,※飲食店営業,旅館・ホテル,一般食堂,R14/02/29,,,,
お食事処　夕鶴,524-0033,守山市浮気町３４０－４,,204799101,R03/11/01,R03/11/01,※飲食店営業,一般食堂,,R09/10/31,,,,
アル・プラザ草津（デリカ厨房）,525-0025,草津市西渋川一丁目２３－３０,株式会社平和堂,204822101,R05/03/01,R05/03/01,※飲食店営業,仕出し屋,そうざい,R12/02/28,,,,
第二にっこり作業所,520-2315,野洲市辻町５７－７,社会福祉法人悠紀会,204840111,R05/07/01,R05/07/01,※菓子製造業,菓子製造,"パン製造,調理パン",R12/06/30,,,,
ビッグボーイ滋賀守山店,524-0013,守山市下之郷一丁目１－２５,株式会社西日本ビッグボーイ,204869101,R04/11/01,R04/11/01,※飲食店営業,一般食堂,"弁当屋,そうざい",R11/10/31,,,,
