許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
111080-01,,ホルモン　バクダン,飲食店営業,2022/06/14,2022/07/01,2028/06/30,
111083-01,,コーヒーハウス　ラーゼス,飲食店営業,2023/02/10,2023/03/01,2029/02/28,
111084-01,,マータント,飲食店営業,2022/02/08,2022/03/01,2028/02/29,
111089-11,株式会社大誠,パン工房１００大津美崎店,菓子製造業,2024/06/19,2024/07/01,2031/06/30,申請のあった取扱品目の製造に限る
111090-11,,ａｔ　Ｓｍｉｌｅ,菓子製造業,2022/10/18,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
111094-01,,美味中華　嘉秋,飲食店営業,2022/06/17,2022/07/01,2028/06/30,
111100-11,社会福祉法人共生シンフォニー,がんばカンパニー,菓子製造業,2025/06/09,2025/07/01,2033/06/30,申請のあった取扱品目の製造に限る。
111108-01,,串ＺＯー,飲食店営業,2022/10/19,2022/11/01,2028/10/31,
111111-11,,山口ファーム工房,菓子製造業,2022/06/17,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
111113-01,株式会社マツヤスーパー,マツヤスーパー大津美崎店（惣菜）,飲食店営業,2024/06/19,2024/07/01,2031/06/30,
111113-11,株式会社マツヤスーパー,マツヤスーパー大津美崎店（惣菜）,菓子製造業,2023/06/16,2023/07/01,2030/06/30,申請のあった取扱品目の製造に限る
111114-04,株式会社マツヤスーパー,マツヤスーパー大津美崎店（海産物）,魚介類販売業,2024/06/19,2024/07/01,2031/06/30,
111116-03,株式会社マツヤスーパー,マツヤスーパー大津美崎店（精肉）,食肉販売業,2024/06/19,2024/07/01,2031/06/30,とさつ・解体は行わないこと
111123-01,,カラオケ喫茶華,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111132-01,株式会社ハートフレンド,フレスコ大津店　鮮魚コーナー,飲食店営業,2025/02/20,2025/03/01,2032/02/29,
111132-04,株式会社ハートフレンド,フレスコ大津店　鮮魚コーナー,魚介類販売業,2025/02/20,2025/03/01,2032/02/29,
111134-01,琵琶湖汽船株式会社,湖の駅　浜大津,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111135-01,株式会社リストランテラーゴ,リストランテ　ラーゴ,飲食店営業,2025/02/17,2025/03/01,2032/02/29,
111140-01,株式会社スーパーホテル,スーパーホテル大津駅前,飲食店営業,2023/02/14,2023/03/01,2029/02/28,
111153-01,,あい,飲食店営業,2022/06/16,2022/07/01,2028/06/30,
111155-01,,近江路,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111158-01,琵琶湖汽船株式会社,琵琶湖大橋米プラザ　おいしや　うれしや,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111158-03,琵琶湖汽船株式会社,琵琶湖大橋米プラザ　おいしや　うれしや,食肉販売業,2022/10/18,2022/11/01,2028/10/31,とさつ・解体は行わないこと
111158-04,琵琶湖汽船株式会社,琵琶湖大橋米プラザ　おいしや　うれしや,魚介類販売業,2022/10/18,2022/11/01,2028/10/31,
111159-01,西日本高速道路リテール株式会社,西日本高速道路リテール株式会社　草津上り売店,飲食店営業,2024/06/13,2024/07/01,2031/06/30,
111160-01,西日本高速道路リテール株式会社,西日本高速道路リテール株式会社　草津上り売店　テイクアウトコーナー,飲食店営業,2024/06/13,2024/07/01,2031/06/30,
111167-01,株式会社モダン・ミール,モダン・ミール,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111175-01,株式会社八谷,餃子の王将　ＦＣ　膳所店,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111192-01,,ティアラ,飲食店営業,2022/06/16,2022/07/01,2028/06/30,
111201-04,株式会社味紀行うち川,味紀行うち川,魚介類販売業,2022/06/16,2022/07/01,2028/06/30,
111206-01,,スイート・バジル,飲食店営業,2023/02/13,2023/03/01,2029/02/28,
111210-01,株式会社平和堂,フレンドマート大津西の庄店デリカ,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111211-04,株式会社平和堂,フレンドマート大津西の庄店鮮魚,魚介類販売業,2025/02/12,2025/03/01,2032/02/29,
111213-03,株式会社平和堂,フレンドマート大津西の庄店精肉,食肉販売業,2025/02/12,2025/03/01,2032/02/29,とさつ・解体は行わないこと
111237-01,,カフェレストラン　アドリア,飲食店営業,2022/06/16,2022/07/01,2028/06/30,
111245-01,,セブン－イレブン　大津真野２丁目店,飲食店営業,2024/10/30,2024/11/01,2031/10/31,
111254-01,,プチ薔薇,飲食店営業,2022/10/20,2022/11/01,2028/10/31,
111254-11,,プチ薔薇,菓子製造業,2022/10/20,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
111254-29,,プチ薔薇,漬物製造業,2024/07/17,2024/08/14,2030/10/31,申請のあった取扱品目の製造に限る
111254-20,,プチ薔薇,みそ又はしょうゆ製造業,2026/02/25,2026/03/12,2032/10/31,申請のあった取扱品目の製造に限る。
111269-01,,夜カフェ　ｄｉｍｐｌｅ,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111271-01,,カラオケ＆コーヒー　ＳＡＳＵＫＥ,飲食店営業,2023/06/22,2023/07/01,2029/06/30,
111273-01,,スナック　みどり,飲食店営業,2023/06/19,2023/07/01,2029/06/30,
111278-01,感動フードサービス株式会社,おごと食堂,飲食店営業,2022/10/20,2022/11/01,2028/10/31,
111279-01,株式会社魚国総本社,魚国総本社・大津２６４４３,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111300-01,京阪カントリー株式会社,京阪カントリー倶楽部レストラン,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111302-01,,やきとり　大吉　志賀店,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111308-01,有限会社凛ｓｔｙｌｅ,ひより　堅田店,飲食店営業,2023/10/17,2023/11/01,2030/10/31,
111310-01,,カフェ＆ゲストハウス　あん,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111319-01,,バーディー,飲食店営業,2023/02/06,2023/03/01,2029/02/28,簡易な営業に限る
111324-11,,パン工房モグモグ,菓子製造業,2022/10/18,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
111328-01,,酒処　まるいち,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111338-01,株式会社ウインドキューブ,ウインド　キューブ,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111341-01,,花ひさ,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111344-01,,蓮　－ＬＯＴＵＳ－,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111357-01,,魚金,飲食店営業,2022/10/20,2022/11/01,2028/10/31,
111357-04,,魚金,魚介類販売業,2022/10/20,2022/11/01,2028/10/31,
111361-01,,Ｊｕｎ　純,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
111364-01,,乃味芳,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111365-24,,らー麺　鉄山靠,麺類製造業,2025/05/01,2025/05/12,2031/06/30,申請のあった取扱品目の製造に限る。
111365-01,,らー麺　鉄山靠,飲食店営業,2025/06/20,2025/07/01,2031/06/30,
111369-01,,可和文,飲食店営業,2025/06/09,2025/07/01,2032/06/30,
111372-01,,三楽,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111373-01,,鉄心,飲食店営業,2023/06/16,2023/07/01,2029/06/30,
111381-01,,セカンドコート魚,飲食店営業,2023/02/10,2023/03/01,2029/02/28,
111382-10,株式会社品川,近江牛　品川亭,食品の冷凍又は冷蔵業,2020/06/09,2020/06/16,2028/02/29,申請のあった取扱品目の製造に限る
111382-29,株式会社品川,近江牛　品川亭,そうざい製造業,2020/06/09,2020/06/16,2028/02/29,申請のあった取扱品目の製造に限る
111382-01,株式会社品川,近江牛　品川亭,飲食店営業,2023/02/10,2023/03/01,2030/02/28,
111400-01,中部フーズ株式会社,バロー真野店　デリカ,飲食店営業,2025/10/16,2025/11/01,2032/10/31,
111401-11,株式会社バロー,バロー真野店（北欧倶楽部）,菓子製造業,2025/07/17,2025/07/31,2032/10/31,申請のあった取扱品目の製造に限る。
111403-04,株式会社バロー,バロー真野店　水産,魚介類販売業,2025/10/16,2025/11/01,2032/10/31,
111404-03,株式会社バロー,バロー真野店　畜産,食肉販売業,2025/10/16,2025/11/01,2032/10/31,とさつ・解体は行わないこと。
111420-01,,すなっく　ウサギ,飲食店営業,2023/06/15,2023/07/01,2029/06/30,簡易な営業に限る
111428-01,有限会社いま村,ラーメン藤　大津石山店,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111442-01,株式会社アドバンス,カレーハウスＣｏＣｏ壱番屋　大津堅田店,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111451-01,おごと温泉旅館協同組合,大津市おごと温泉観光公園,飲食店営業,2024/10/16,2024/11/01,2031/10/31,
111454-01,,セブン－イレブン　大津月輪店,飲食店営業,2025/06/20,2025/07/01,2032/06/30,
111456-01,ラックホテル株式会社,ラックホテル大津石山,飲食店営業,2024/06/11,2024/07/01,2031/06/30,
111457-01,株式会社マルイ,ファミリーマート　大津御殿浜店,飲食店営業,2025/06/09,2025/07/01,2032/06/30,
111462-01,合同会社ＣＳＭ,セブン－イレブン大津松山町店,飲食店営業,2025/02/12,2025/03/01,2032/02/29,
111462-11,合同会社ＣＳＭ,セブン－イレブン大津松山町店,菓子製造業,2025/02/12,2025/03/01,2032/02/29,申請のあった取扱品目の製造に限る
111467-01,有限会社天平フーズ,有限会社天平フーズ,飲食店営業,2026/02/13,2026/03/01,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
111473-01,マルニワールド株式会社,かつ麦　大津店,飲食店営業,2024/02/14,2024/03/01,2031/02/28,
111474-01,株式会社ＡＪＩコーポレーション,Ｈａｓｈｉｎｇ,飲食店営業,2023/02/10,2023/03/01,2029/02/28,
111474-11,株式会社ＡＪＩコーポレーション,Ｈａｓｈｉｎｇ,菓子製造業,2023/02/10,2023/03/01,2029/02/28,申請のあった取扱品目の製造に限る
111480-01,,串揚げ蕎麦処　たむらや,飲食店営業,2023/02/10,2023/03/01,2029/02/28,
111484-01,,文福,飲食店営業,2023/02/09,2023/03/01,2029/02/28,
111488-01,琵琶湖汽船株式会社,ミシガン　２Ｆホール・カフェ,飲食店営業,2024/02/21,2024/03/01,2030/02/28,船舶による営業に限る
111489-01,琵琶湖汽船株式会社,ミシガン　３Ｆスナック,飲食店営業,2024/02/21,2024/03/01,2030/02/28,船舶による営業に限る
111494-01,,カナリア茶家,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111495-17,株式会社琵琶湖グランドホテル,琵琶湖グランドホテル東館,食肉販売業,2020/07/21,2020/08/07,2027/10/31,とさつ・解体をしないこと
111495-01,株式会社琵琶湖グランドホテル,琵琶湖グランドホテル東館,飲食店営業,2025/10/10,2025/11/01,2032/10/31,
111501-01,,伊与門,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111506-11,社会福祉法人湘南学園,れもん会社,菓子製造業,2025/06/18,2025/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
111507-01,,ｋｉｔｃｈｅｎ　ｋｏｋｏｒｏ,飲食店営業,2023/06/21,2023/07/01,2029/06/30,
111516-01,,宴,飲食店営業,2024/03/01,2024/03/01,2030/02/28,
111519-01,大塚製薬株式会社,大塚製薬株式会社　大塚比叡山荘,飲食店営業,2020/02/20,2020/03/01,2027/02/28,
111520-01,,やきとり仁吉西の庄店,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111523-11,株式会社ブレイス,ｖｅｒｂｉｎｄｅｎ（フェルビンデン）,菓子製造業,2023/10/13,2023/11/01,2029/10/31,申請のあった取扱品目の製造に限る
111524-25,株式会社Ｆａｃｉｏ,エフマートもみじヶ丘店,そうざい製造業,2025/06/20,2025/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
111525-01,株式会社魚国総本社,魚国総本社・大津２６４５１,飲食店営業,2020/02/18,2020/03/01,2027/02/28,
111526-01,有限会社いま村,串の店　いま村,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
111549-01,,卯月のぞみ,飲食店営業,2023/06/16,2023/07/01,2029/06/30,
111552-01,有限会社丸二果実店,（有）丸二果実店,飲食店営業,2024/02/15,2024/03/01,2030/02/28,
111552-11,有限会社丸二果実店,（有）丸二果実店,菓子製造業,2025/02/18,2025/03/01,2031/02/28,申請のあった取扱品目の製造に限る
111553-01,株式会社魚国総本社,魚国総本社・大津２６４５２,飲食店営業,2026/01/27,2026/03/01,2033/02/28,
111555-01,有限会社アルバテック,有限会社アルバテック（尾張小牧４８３え３６３６）,飲食店営業,2022/02/14,2022/03/01,2027/02/28,自動車による営業に限る申請のあった取扱品目に限る
111567-01,株式会社魚国総本社,魚国総本社・大津２６４５３,飲食店営業,2025/06/05,2025/07/01,2032/06/30,
111572-01,くら寿司株式会社,くら寿司　瀬田店,飲食店営業,2025/06/13,2025/07/01,2032/06/30,
111578-01,,串揚げ三昧　ｈｏｎｏｂｏｎｏ,飲食店営業,2024/02/21,2024/03/01,2030/02/28,
111594-02,,ＳＰＵＴＮＩＣ,菓子製造業,2021/03/15,2021/03/19,2027/06/30,申請のあった取扱品目の製造に限る
111594-01,,ＳＰＵＴＮＩＣ,飲食店営業,2023/06/19,2023/07/01,2029/06/30,
111594-25,,ＳＰＵＴＮＩＣ,そうざい製造業,2021/06/21,2021/07/02,2028/06/30,申請のあった取扱品目の製造に限る
111603-01,,セブン－イレブン　大津瀬田西インター店,飲食店営業,2026/06/17,2026/07/01,2033/06/30,
111607-01,株式会社サイゼリヤ,サイゼリヤフォレオ大津一里山店,飲食店営業,2025/06/20,2025/07/01,2032/06/30,
111608-01,,なごみ弁当　大津店,飲食店営業,2026/02/13,2026/03/01,2033/02/28,
111622-01,,居酒屋花とう,飲食店営業,2024/02/19,2024/03/01,2030/02/28,
111622-03,,居酒屋花とう,食肉販売業,2024/11/18,2024/12/05,2031/02/28,とさつ・解体は行わないこと
111622-25,,居酒屋花とう,そうざい製造業,2024/11/18,2024/12/05,2031/02/28,申請のあった取扱品目の製造に限る
111649-01,,スナック　トモ,飲食店営業,2023/10/18,2023/11/01,2029/10/31,
111650-01,,ｓｎａｃｋ　Ｒｙｏ,飲食店営業,2023/10/13,2023/11/01,2029/10/31,
111659-01,宗教法人圓満院,精進料理　もみじ乃,飲食店営業,2026/02/16,2026/03/01,2032/02/29,
111669-01,株式会社緑水亭,びわこ緑水亭（びわの風２Ｆ）,飲食店営業,2025/10/20,2025/11/01,2032/10/31,
111679-17,株式会社湖国料理井筒,湖畔レストラン「キャビン」,食肉販売業,2020/10/02,2020/10/12,2026/10/31,とさつ・解体をしないこと
111679-01,株式会社湖国料理井筒,湖畔レストラン「キャビン」,飲食店営業,2023/10/17,2023/11/01,2029/10/31,
111682-01,,才・ＳＡＩ,飲食店営業,2025/06/12,2025/07/01,2031/06/30,
111689-01,株式会社秀静,ローソン　大萱一丁目店,飲食店営業,2026/06/09,2026/07/01,2033/06/30,
111690-11,有限会社カワナカ,かしわの川中,菓子製造業,2024/07/17,2024/07/31,2031/10/31,申請のあった取扱品目の製造に限る
111690-15,有限会社カワナカ,かしわの川中,食肉製品製造業,2022/09/21,2022/10/04,2029/10/31,申請のあった取扱品目の製造に限る
111690-25,有限会社カワナカ,かしわの川中,そうざい製造業,2024/09/24,2024/10/03,2031/10/31,申請のあった取扱品目の製造に限る
111697-01,有限会社ケーアンドエヌ,酒仙ひむか,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111697-03,有限会社ケーアンドエヌ,酒仙ひむか,食肉販売業,2021/09/13,2021/09/15,2028/02/29,とさつ・解体は行わないこと
111697-04,有限会社ケーアンドエヌ,酒仙ひむか,魚介類販売業,2021/09/13,2021/09/15,2028/02/29,
111701-11,,廣栄堂寿延,菓子製造業,2023/10/17,2023/11/01,2029/10/31,申請のあった取扱品目の製造に限る
111704-02,株式会社アペックス西日本,自販０３　琵琶湖大橋レストハウス　琵琶湖大橋米プラザ内（ＣＣＷ）,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,2022/02/14,2022/03/01,2027/02/28,自動販売機による営業に限る設置台数は１台に限る
111710-11,,ベーカリーＴＯＩＲＯ,菓子製造業,2024/02/15,2024/03/01,2030/02/28,申請のあった取扱品目の製造に限る
111713-01,,居酒屋　きゅうきゅう,飲食店営業,2024/06/13,2024/07/01,2030/06/30,
111715-01,,Ｂｅｅｒｓ！,飲食店営業,2024/06/13,2024/07/01,2030/06/30,
111717-01,,オステリア　チエロアルト,飲食店営業,2024/06/13,2024/07/01,2030/06/30,
111717-11,,オステリア　チエロアルト,菓子製造業,2024/06/13,2024/07/01,2030/06/30,申請のあった取扱品目の製造に限る
111718-01,,シュシュ　ｃｈｏｕ　ｃｈｏｕ,飲食店営業,2024/02/14,2024/03/01,2030/02/28,簡易な営業に限る
111721-01,株式会社ＯＫＣ,びわ湖放送（株）食堂,飲食店営業,2024/02/22,2024/03/01,2030/02/28,
111743-01,,ととや一,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111747-01,誠賢グループ株式会社,大衆居酒屋　ニューくろ万,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111753-01,有限会社まごころや,炉ばた焼　大蔵屋　石山駅前店,飲食店営業,2024/06/11,2024/07/01,2030/06/30,
111754-01,,ｕｃｈｉ　ｃａｆｅ＊,飲食店営業,2024/10/18,2024/11/01,2030/10/31,
111754-11,,ｕｃｈｉ　ｃａｆｅ＊,菓子製造業,2024/10/18,2024/11/01,2030/10/31,申請のあった取扱品目の製造に限る
111757-01,東住吉マルタマフーズ株式会社,医療法人弘英会　琵琶湖大橋病院,飲食店営業,2020/10/21,2020/11/01,2027/10/31,
111759-01,,スナック　Ｓｈｉｋｉ,飲食店営業,2024/06/11,2024/07/01,2030/06/30,簡易な営業に限る
111766-01,株式会社文教,ローソン滋賀医大病院店,飲食店営業,2026/06/15,2026/07/01,2033/06/30,
111770-01,,Ｚｏｏ（ずう）,飲食店営業,2026/02/12,2026/03/01,2032/02/29,
111776-01,,ＣＯＣＯ　ＫＵＯＮ,飲食店営業,2024/10/18,2024/11/01,2030/10/31,
111778-01,,居酒屋やすし,飲食店営業,2024/06/12,2024/07/01,2030/06/30,
111782-01,,笑い飯,飲食店営業,2025/10/14,2025/11/01,2031/10/31,
111791-11,株式会社叶匠寿庵,株式会社　叶匠寿庵　開発棟,菓子製造業,2026/06/12,2026/07/01,2033/06/30,申請のあった取扱品目の製造に限る。
111795-01,株式会社オーイズミフーズ,くいもの屋わん石山駅前店,飲食店営業,2026/06/10,2026/07/01,2033/06/30,
111804-27,,ラーメン　桃李路,冷凍食品製造業,2023/05/22,2023/05/25,2029/06/30,申請のあった取扱品目の製造に限る
111815-01,,グリーン　ドット,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111816-01,,喫茶　翔湖,飲食店営業,2024/02/14,2024/03/01,2030/02/28,
111818-01,,ＯＳＡＮＰＯ ＣＡＦＥ,飲食店営業,2024/02/15,2024/03/01,2030/02/28,
111818-11,,ＯＳＡＮＰＯ ＣＡＦＥ,菓子製造業,2022/02/08,2022/03/01,2028/02/29,申請のあった取扱品目の製造に限る
111819-11,,手作り弁当　貴の屋,菓子製造業,2024/10/18,2024/11/01,2030/10/31,申請のあった取扱品目の製造に限る
111819-25,,手作り弁当　貴の屋,そうざい製造業,2024/10/18,2024/11/01,2030/10/31,申請のあった取扱品目の製造に限る
111854-01,,もも,飲食店営業,2024/02/16,2024/03/01,2030/02/28,
111855-01,,高栄商事,飲食店営業,2019/10/18,2019/11/01,2026/10/31,
111866-01,株式会社塩梅,特別養護老人ホーム　榛原の里,飲食店営業,2020/10/21,2020/11/01,2027/10/31,
111867-04,株式会社マリングレイス,株式会社マリングレイス（３０１号）,魚介類販売業,2024/06/13,2024/06/21,2030/06/30,
111867-25,株式会社マリングレイス,株式会社マリングレイス（３０１号）,そうざい製造業,2024/06/13,2024/06/21,2030/06/30,申請のあった取扱品目の製造に限る
111872-01,特定非営利活動法人ＡＪＡ,喫茶　びわたん,飲食店営業,2025/02/12,2025/03/01,2031/02/28,
111873-01,琵琶湖汽船株式会社,ビアンカ　クラウド,飲食店営業,2025/02/17,2025/03/01,2031/02/28,船舶による営業に限る
111882-01,チムニー株式会社,はなの舞　大津駐屯地店,飲食店営業,2025/02/17,2025/03/01,2031/02/28,
111893-01,,カフェ　さくら,飲食店営業,2024/06/12,2024/07/01,2030/06/30,
111894-01,,志恩,飲食店営業,2024/10/18,2024/11/01,2030/10/31,
111898-01,,寿司きしだ,飲食店営業,2024/06/19,2024/07/01,2030/06/30,
111904-01,株式会社鳥貴族西日本,鳥貴族　石山店,飲食店営業,2024/06/12,2024/07/01,2030/06/30,
111906-01,,居酒屋　初美,飲食店営業,2025/02/18,2025/03/01,2031/02/28,
111912-01,有限会社ホテルテトラＯ２,ボンシェール,飲食店営業,2025/02/18,2025/03/01,2031/02/28,
111918-01,株式会社サイゼリヤ,サイゼリヤＯｈ！Ｍｅ大津テラス店,飲食店営業,2020/02/18,2020/03/01,2027/02/28,
111921-01,株式会社すかいらーくレストランツ,ステーキガスト　大津瀬田店,飲食店営業,2025/06/13,2025/07/01,2031/06/30,
111932-01,,スパイス王国　ｍｉｎｉ　Ｏｈ！Ｍｅ　大津ＴＥＲＲＡＣＥ店,飲食店営業,2025/02/20,2025/03/01,2031/02/28,
111936-01,,舞ベリー,飲食店営業,2024/10/28,2024/11/01,2030/10/31,
111937-04,,ハヤシフーズ,魚介類販売業,2024/06/12,2024/07/01,2030/06/30,
111937-25,,ハヤシフーズ,そうざい製造業,2024/06/12,2024/07/01,2030/06/30,申請のあった取扱品目の製造に限る
111939-01,株式会社フジオフードシステム,大津神領食堂,飲食店営業,2026/06/22,2026/07/01,2032/06/30,
111947-01,株式会社廣見,鮨　廣見屋白川土,飲食店営業,2024/06/14,2024/07/01,2030/06/30,
111948-01,株式会社ツースリー,新福菜館　石山寺店,飲食店営業,2024/06/14,2024/07/01,2030/06/30,
111961-01,くら寿司株式会社,くら寿司　堅田店,飲食店営業,2025/10/16,2025/11/01,2031/10/31,
111964-01,ドリームフーズ株式会社,近江ちゃんぽん亭　堅田店,飲食店営業,2024/10/18,2024/11/01,2030/10/31,
111971-01,,夢幻遊庵　ＭＵＧＥＮＹＵＡＮ,飲食店営業,2024/10/16,2024/11/01,2030/10/31,
111974-01,,焼人　くらちゃん,飲食店営業,2020/06/15,2020/07/01,2027/06/30,
111977-01,,やきとり大吉　堅田店,飲食店営業,2024/10/17,2024/11/01,2030/10/31,
111978-01,株式会社天一食品商事,葦の花,飲食店営業,2025/10/03,2025/11/01,2031/10/31,
111980-01,株式会社天一食品商事,イタリア料理　ボザール,飲食店営業,2025/10/03,2025/11/01,2031/10/31,
111983-01,布施マルタマフーズ株式会社,ハートランド南志賀,飲食店営業,2025/02/19,2025/03/01,2031/02/28,
111985-01,株式会社セレマ,ＮＩＨＯ,飲食店営業,2020/06/30,2020/07/01,2027/06/30,
111989-01,,村田とうふ,飲食店営業,2025/06/12,2025/07/01,2031/06/30,
111989-22,,村田とうふ,豆腐製造業,2025/06/12,2025/07/01,2031/06/30,申請のあった取扱品目の製造に限る。
111992-01,,とりのとりこ,飲食店営業,2025/02/12,2025/03/01,2031/02/28,
111993-01,,タコス屋サリー（奈良１３０す・・３５）,飲食店営業,2023/02/14,2023/03/01,2028/02/29,自動車による営業に限る申請のあった取扱品目に限る
111995-01,株式会社平和堂,平和堂フレンドマート大津京店　デリカ,飲食店営業,2020/02/18,2020/03/01,2027/02/28,そうざいは店頭販売に限る
111995-02,株式会社平和堂,平和堂フレンドマート大津京店　デリカ,菓子製造業,2020/02/18,2020/03/01,2027/02/28,申請のあった取扱品目の製造に限る
111996-01,株式会社平和堂,平和堂フレンドマート大津京店　鮮魚,飲食店営業,2020/02/18,2020/03/01,2027/02/28,そうざいは店頭販売に限る
111996-07,株式会社平和堂,平和堂フレンドマート大津京店　鮮魚,魚介類販売業,2020/02/18,2020/03/01,2027/02/28,
111998-17,株式会社平和堂,平和堂フレンドマート大津京店　精肉,食肉販売業,2020/02/18,2020/03/01,2027/02/28,とさつ・解体をしないこと
111998-25,株式会社平和堂,平和堂フレンドマート大津京店　精肉,そうざい製造業,2024/01/15,2024/01/23,2031/02/28,申請のあった取扱品目の製造に限る
112000-17,,おで湖,食肉販売業,2020/07/08,2020/07/20,2027/02/28,とさつ・解体をしないこと
112000-01,,おで湖,飲食店営業,2025/02/19,2025/03/01,2031/02/28,
112003-11,,ＢＡＫＥＲＹ　ｄｒｙｒｉｖｅｒ,菓子製造業,2025/02/17,2025/03/01,2031/02/28,申請のあった取扱品目の製造に限る
112019-01,,Ｌｕｃｋ,飲食店営業,2024/10/18,2024/11/01,2030/10/31,
112036-01,有限会社シライ,ラーメン　一徹,飲食店営業,2025/10/15,2025/11/01,2031/10/31,
112051-01,有限会社空のめぐみ,炭火串焼き　ソラナカ,飲食店営業,2024/10/21,2024/11/01,2030/10/31,
112052-01,株式会社杢兵衛造船所,旅客船「一番丸」,飲食店営業,2023/02/16,2023/03/01,2029/02/28,船舶による営業に限る臨時的営業に限る申請のあった取扱品目に限る加熱調理食品の提供に限る簡単な調理加工行為に限る
112061-02,社会福祉法人美輪湖の家大津,瑞穂,菓子製造業,2020/06/26,2020/07/01,2027/06/30,申請のあった取扱品目の製造に限る
112061-22,社会福祉法人美輪湖の家大津,瑞穂,みそ製造業,2020/06/26,2020/07/01,2027/06/30,申請のあった取扱品目の製造に限る
112062-02,社会福祉法人美輪湖の家大津,瑞穂　別館（食品加工）,菓子製造業,2020/06/26,2020/07/01,2027/06/30,申請のあった取扱品目の製造に限る
112063-28,社会福祉法人美輪湖の家大津,瑞穂　別館（麺類）,麺類製造業,2020/06/26,2020/07/01,2027/06/30,申請のあった取扱品目の製造に限る
112067-01,,ラウンジ花,飲食店営業,2025/02/17,2025/03/01,2031/02/28,
112074-01,,旬食　むら多,飲食店営業,2025/10/15,2025/11/01,2031/10/31,
112087-01,株式会社ｓｈｉｏｒｉｙａ,御肴　かわせみ,飲食店営業,2025/02/17,2025/03/01,2031/02/28,
112088-01,株式会社アンブロシア,ファミリーマート石山駅前店,飲食店営業,2020/06/15,2020/07/01,2027/06/30,
112097-01,,ｐａｎ　ｃａｆｅ　ＳＵＺＵ－ｙａ,飲食店営業,2025/06/16,2025/07/01,2031/06/30,
112097-11,,ｐａｎ　ｃａｆｅ　ＳＵＺＵ－ｙａ,菓子製造業,2025/06/16,2025/07/01,2031/06/30,申請のあった取扱品目の製造に限る。
112101-01,株式会社平和堂,フレンドマート瀬田川店　デリカ,飲食店営業,2020/06/09,2020/07/01,2027/06/30,そうざいは店頭販売に限る
112101-02,株式会社平和堂,フレンドマート瀬田川店　デリカ,菓子製造業,2020/06/09,2020/07/01,2027/06/30,申請のあった取扱品目の製造に限る
112101-25,株式会社平和堂,フレンドマート瀬田川店　デリカ,そうざい製造業,2025/06/20,2025/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
112102-01,株式会社平和堂,フレンドマート瀬田川店　鮮魚,飲食店営業,2020/06/09,2020/07/01,2027/06/30,そうざいは店頭販売に限る
112102-07,株式会社平和堂,フレンドマート瀬田川店　鮮魚,魚介類販売業,2020/06/09,2020/07/01,2027/06/30,
112104-17,株式会社平和堂,平和堂フレンドマート瀬田川店　精肉,食肉販売業,2020/06/09,2020/07/01,2027/06/30,とさつ・解体をしないこと
112104-01,株式会社平和堂,平和堂フレンドマート瀬田川店　精肉,飲食店営業,2026/06/09,2026/07/01,2033/06/30,
112108-01,フジパンストアー株式会社,パリクロアッサン,飲食店営業,2020/06/26,2020/07/01,2027/06/30,
