カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
美容所,ｎｉｋｏｒｉｎａ,527-0107,東近江市今在家町,東近江市今在家町２９７ー１,２９７ー１,,R04/04/07,,,,東近江
美容所,Ｈａｉｒ．１０５,527-0174,東近江市大萩町,東近江市大萩町１０５,１０５,,R04/04/21,,,,東近江
美容所,Ｃｈｅｅｒｆｕｌ,527-0035,東近江市ひばり丘町,東近江市ひばり丘町１－４,１－４,,R04/04/19,,,,東近江
美容所,Ｐｕｚｚｌｅ ｈａｉｒ Ｄｅｓｉｇｈ,529-1444,東近江市五個荘石塚町,東近江市五個荘石塚町２－３,２－３,,R04/05/20,,,,東近江
美容所,ＧＡＧＡ Ｄ Ａｓｈ,523-0011,近江八幡市友定町,近江八幡市友定町３６７－１,３６７－１,,R04/06/07,,,,東近江
美容所,ｅｙｅｌａｓｈ ｓａｌｏｎ ｓｉｆａ,521-1224,東近江市林町,東近江市林町２６－８,２６－８,,R04/06/27,,,,東近江
美容所,グレイス,523-0816,近江八幡市西庄町,近江八幡市西庄町１２７１－５,１２７１－５,,R04/08/04,,,,東近江
美容所,Ａｏ６０２,523-0811,近江八幡市長田町,近江八幡市長田町１２９１－４,１２９１－４,,R04/08/12,,,,東近江
美容所,Ａｐｐｅａｒａｎｃｅ,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾４－４,４－４,,R04/08/05,,,,東近江
美容所,美容室Ｒａｎａ,527-0045,東近江市中小路町,東近江市中小路町１７５－２,１７５－２,,R04/09/08,,,,東近江
美容所,ＲＥＶＥ,527-0021,東近江市八日市東浜町,東近江市八日市東浜町１－２ ダイヤパレス２０２,１－２ ダイヤパレス２０２,,R04/09/05,,,,東近江
美容所,ＬＩＮＯＲＥ近江八幡店（ｅｙｅｌａｓｈ＆ エステ）,523-0818,近江八幡市西本郷町東,近江八幡市西本郷町東５－６－１０５,５－６－１０５,,R04/09/29,,,,東近江
美容所,ｍｏｎａ,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１４８５－６ ４０５号室,１４８５－６ ４０５号室,,R04/10/18,,,,東近江
美容所,ヘナ・エステａｏｍｉ,520-2551,蒲生郡竜王町薬師,蒲生郡竜王町薬師１１７３－７,１１７３－７,,R04/11/04,,,,東近江
美容所,ｓａｂｉ,521-1341,近江八幡市安土町上豊 浦,近江八幡市安土町上豊 浦６２９－３,６２９－３,,R04/11/09,,,,東近江
美容所,ＡＵＢＥ ＨＡＩＲ ｗｉｎｋ 近江八幡店,523-0892,近江八幡市出町,近江八幡市出町４１７－８ 出町フォーエバービル１階２ 号室,４１７－８ 出町フォーエバービル１階２ 号室,株式会社Ａ’Ｇｒｏｕｐ,R04/12/02,,,,東近江
美容所,ｔｏｔａｌ ｂｅａｕｔｙ ｓａｌｏｎ Ｇ ＬＥＡＭ,529-1422,東近江市五個荘小幡町,東近江市五個荘小幡町６７３,６７３,,R04/11/16,,,,東近江
美容所,ｍｏｏｎ ＥＹＥＬＡＳＨ ＳＡＬＯＮ,529-1634,蒲生郡日野町深山口,蒲生郡日野町深山口７６１,７６１,,R04/12/23,,,,東近江
美容所,フェリーチェ ラッシュ,520-2564,蒲生郡竜王町山面,蒲生郡竜王町山面３５－１５２,３５－１５２,,R04/12/27,,,,東近江
美容所,ＡＬＡＮＡ ＨＡＩＲ,523-0893,近江八幡市桜宮町,近江八幡市桜宮町２０６－１４ サンビル１０２,２０６－１４ サンビル１０２,,R05/02/17,,,,東近江
美容所,ｍｏｔｉｆ ｈａｉｒ,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦２５－８,２５－８,,R05/02/22,,,,東近江
美容所,Ａｎｄ Ｕ,521-1235,東近江市伊庭町,東近江市伊庭町２１３４,２１３４,,R05/03/20,,,,東近江
美容所,ｅｙｅｐｐｌｅ,521-1205,東近江市躰光寺町,東近江市躰光寺町１－３ １Ｆ,１－３ １Ｆ,,R05/03/27,,,,東近江
美容所,ヘアーサロン イワサキ,523-0816,近江八幡市西庄町,近江八幡市西庄町２７７１ バロー近江八幡店１階テナント,２７７１ バロー近江八幡店１階テナント,株式会社ハクブン,R05/04/07,,,,東近江
美容所,＆ＲＥ．,527-0092,東近江市小今町,東近江市小今町３９－１１,３９－１１,,R05/04/07,,,,東近江
美容所,ｐｒｉｖａｔｅ ｆｒｅｅ ｓａｌｏｎ Ｌ ＩＢＲＥ,529-1441,東近江市五個荘川並町,東近江市五個荘川並町１６８－１７,１６８－１７,,R05/04/27,,,,東近江
美容所,Ｈｉ－Ｅｘｔｅｎｓｉｏｎ近江八幡店,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１５４２,１５４２,株式会社ＷＡＬＬＲＩＤ,R05/05/22,,,,東近江
美容所,Ｌｅｍｏｎ ｔｏ Ｍｉｎｔ ハナレ,520-2561,蒲生郡竜王町須惠,蒲生郡竜王町須惠３４３,３４３,,R05/06/29,,,,東近江
美容所,ＣＨＥＲＩＥ ｂｙ ＯＳＡＹＡ,529-1537,東近江市市子殿町,東近江市市子殿町１３４５－１０４,１３４５－１０４,,R05/07/31,,,,東近江
美容所,Ｌｏｕｉｓｅ ｅｙｅｌａｓｈ,523-0004,近江八幡市西生来町,近江八幡市西生来町１４２７,１４２７,,R05/09/20,,,,東近江
美容所,白髪染め専門店「キレイ」能登川店,521-1221,東近江市垣見町,東近江市垣見町１３１７,１３１７,,R05/10/18,,,,東近江
美容所,Ｇｅｍ ｓｔｏｎｅ,520-2524,蒲生郡竜王町綾戸,蒲生郡竜王町綾戸５３９,５３９,株式会社アップライム,R05/10/30,,,,東近江
美容所,Ｂｅａｕｔｙ Ｓｐａｃｅ Ｌｕｎａ,523-0058,近江八幡市加茂町,近江八幡市加茂町３１７６－１,３１７６－１,,R05/12/04,,,,東近江
美容所,ビューティーサロンラック パーマ手良,529-1541,東近江市蒲生堂町,東近江市蒲生堂町３３８－５１,３３８－５１,,R06/01/04,,,,東近江
美容所,Ｊｅｒｕｓａｌｅｍ,523-0892,近江八幡市出町,近江八幡市出町８４６,８４６,,R06/01/16,,,,東近江
美容所,ｍｅｌｌｏｗ,523-0001,近江八幡市金剛寺町,近江八幡市金剛寺町３０３－２,３０３－２,,R06/01/16,,,,東近江
美容所,Ｈｅａｒｔｙ,523-0082,近江八幡市土田町,近江八幡市土田町１０８７－５,１０８７－５,株式会社Ｋ.Ｕ ＷＯＲＫＳ.,R06/01/24,,,,東近江
美容所,ｅｎ．．．,523-0892,近江八幡市出町,近江八幡市出町４１７－１８,４１７－１８,,R06/01/31,,,,東近江
美容所,Ｅｙｅｌａｓｈ ｓａｌｏｎ ＮＡＶＩ,527-0086,東近江市上平木町,東近江市上平木町１９７７ さくらゴルフ２階,１９７７ さくらゴルフ２階,,R06/02/07,,,,東近江
美容所,ｃｏｔｉｅ.,523-0896,近江八幡市鷹飼町北一 丁目,近江八幡市鷹飼町北一 丁目９－７ グリーン茨木１０２,９－７ グリーン茨木１０２,,R06/02/29,,,,東近江
美容所,ＬｉＬｙ．,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦４５５０－１ レジデンスイルオー１階１ ０５号,４５５０－１ レジデンスイルオー１階１ ０５号,,R06/03/18,,,,東近江
美容所,Ｏｒａ ｂｒｉｌｌｅｒ,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町４５６－１,４５６－１,,R06/04/18,,,,東近江
美容所,ｓａｌｏｎ ＧＥＭＩＮＩ,521-1204,東近江市小川町,東近江市小川町１０２４－３,１０２４－３,,R06/05/01,,,,東近江
美容所,ａｗｅｓｏｍｅ,523-0894,近江八幡市中村町,近江八幡市中村町２１－１９ グランドビル１Ｆ－１０Ｂ,２１－１９ グランドビル１Ｆ－１０Ｂ,,R06/05/28,,,,東近江
